feature_id,label,source_name,MQScore,SharedPeaks,MZErrorPPM,library_precursor_mz,library_rt_seconds,curated_name,Compound_Name,name_key,Class,SubClass,Sub_subclass,condition,retain,exclusion_reason
32370,32370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
7183,7183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
17033,17033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
21417,21417,"Spectral Match to 1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine from NIST14",0.936406,4,0.417741,730.538,386.474,PC(16:1/16:1),PC(16:1/16:1),PC(16:1/16:1),Glycerophospholipid,Glycerophosphocholine,Phosphatidylcholine,CTL,TRUE,NA
19535,19535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
23092,23092,"Spectral Match to 1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine from NIST14",0.505673,3,0.501289,730.538,404.725,PC(16:1/16:1),PC(16:1/16:1),PC(16:1/16:1),Glycerophospholipid,Glycerophosphocholine,Phosphatidylcholine,CTL,TRUE,NA
22057,22057,"Spectral Match to 1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine from NIST14",0.862585,5,0.417741,730.538,391.398,PC(16:1/16:1),PC(16:1/16:1),PC(16:1/16:1),Glycerophospholipid,Glycerophosphocholine,Phosphatidylcholine,CTL,TRUE,NA
19206,19206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
8321,8321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
11724,11724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
12911,12911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
14973,14973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
33034,33034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
31603,31603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
18702,18702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
24154,24154,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,0.93617,4,0.0833183,732.554,434.072,PC(18:1/14:0),PC(18:1/14:0),PC(18:1/14:0),Glycerophospholipid,Phosphatidylcholine,NA,CTL,TRUE,NA
21240,21240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
