condition,Compound_Name,status,n_plots,message
LIN,TG(12:0/12:0/12:0),ok,380,NA
LIN,TG(12:0/12:0/14:0),ok,380,NA
LIN,TG(12:0/12:0/18:1),ok,380,NA
LIN,TG(12:0/14:0/16:0),ok,380,NA
LIN,TG(12:0/16:0/18:3),ok,380,NA
LIN,TG(12:0/18:2/18:3),ok,380,NA
LIN,TG(14:0/14:0/16:0),ok,380,NA
LIN,TG(14:0/14:0/16:1),ok,380,NA
LIN,TG(14:0/16:0/16:0),ok,380,NA
LIN,TG(14:0/18:2/18:3),ok,380,NA
LIN,TG(14:0/18:3/18:3),ok,380,NA
LIN,TG(16:0/16:0/16:0),ok,380,NA
LIN,TG(16:0/16:0/18:1),ok,380,NA
LIN,TG(16:0/16:0/18:2),ok,380,NA
LIN,TG(16:0/18:1/18:1),ok,380,NA
LIN,TG(16:0/18:1/18:2),ok,380,NA
LIN,TG(16:0/18:1/18:3),ok,380,NA
LIN,TG(16:0/18:1/22:0),ok,380,NA
LIN,TG(16:0/18:2/18:3),ok,380,NA
LIN,TG(16:0/18:3/18:3),ok,380,NA
LIN,TG(18:0/18:1/22:0),ok,380,NA
LIN,TG(18:0/18:2/18:2),ok,380,NA
LIN,TG(18:0/18:2/22:0),ok,380,NA
LIN,TG(18:1/18:1/18:1),ok,380,NA
LIN,TG(18:1/18:1/18:2),ok,380,NA
LIN,TG(18:1/18:2/18:2),ok,380,NA
LIN,TG(18:1/18:2/22:0),ok,380,NA
LIN,TG(18:1/18:3/22:0),ok,380,NA
LIN,TG(18:1/20:3/22:0),ok,380,NA
LIN,TG(18:2/18:2/18:4),ok,380,NA
LIN,TG(18:2/18:3/20:1),ok,380,NA
LIN,TG(18:2/18:3/20:3),ok,380,NA
LIN,TG(18:2/20:2/22:2),ok,380,NA
LIN,TG(18:2/20:3/21:0),ok,380,NA
LIN,TG(18:2/20:3/22:0),ok,380,NA
LIN,TG(18:3/18:3/18:3),ok,380,NA
LIN,TG(18:3/18:3/20:3),ok,380,NA
LIN,TG(8:0/10:0/10:0),ok,380,NA
LIN,Ubidecarenone,ok,380,NA
LIN,Vitamin K1,ok,380,NA
LIN,Zeaxanthin,ok,380,NA
LIN,beta-Carotene,ok,380,NA
LIN,gibberellic acid,ok,380,NA
LIN,sebacic acid,ok,380,NA
