window_kb,Layer,n_windows_genome,n_CTL,n_LIN,n_shared,expected_shared,fold_enrichment,jaccard,p_hypergeom
100,All layers,4844,506,1557,192,162.642857142857,1.18050065876153,0.102618920363442,0.00204245732673175
100,Individual lipids,4844,494,1556,185,158.683732452519,1.16584099164264,0.0991957104557641,0.00466713295522515
100,Class sums / ratios,4844,23,118,0,0.560280759702725,0,0,1
250,All layers,2279,358,949,157,149.075032909171,1.0531609279983,0.136521739130435,0.192812532200482
250,Individual lipids,2279,351,948,153,146.006143045195,1.04790111435681,0.133507853403141,0.221995912256492
250,Class sums / ratios,2279,17,72,0,0.537077665642826,0,0,1
500,All layers,1239,279,634,148,142.765133171913,1.03666768427123,0.193464052287582,0.259784816259845
500,Individual lipids,1239,275,634,146,140.718321226796,1.03753369658732,0.191349934469201,0.256642284251547
500,Class sums / ratios,1239,13,50,0,0.524616626311542,0,0,1
