Reaction_branch,Score_definition,N_pairs,median_CTL,median_LIN,delta_median,test,p_value,p_adj_BH,direction,ci_low_2.5pct,ci_high_97.5pct
LCAT*,"mean(log10(LPC),log10(TG)) - mean(log10(PC),log10(DG))",355,-1.47332485748076,-1.33432268504072,0.139002172440045,paired Wilcoxon signed-rank,5.18535962478624e-53,5.18535962478624e-53,products_enriched_in_LIN,0.120448713087555,0.155416870428828
PNPLA1,log10(DG) - log10(TG),355,0.737875176469983,0.482065559835954,-0.255809616634029,paired Wilcoxon signed-rank,3.11664772451548e-57,4.15553029935397e-57,substrates_enriched_in_LIN,-0.274357962518654,-0.24029609248288
LRO1,"mean(log10(TG),log10(LPE)) - mean(log10(PE),log10(DG))",355,-1.83199940546888,-1.57069061443188,0.261308791037008,paired Wilcoxon signed-rank,7.99374775003856e-60,3.19749910001542e-59,products_enriched_in_LIN,0.249594132977648,0.281102781172614
PNPLA3,"log10(TG) - mean(log10(DG),log10(MG))",355,-0.233675103794599,0.0803652654438389,0.314040369238438,paired Wilcoxon signed-rank,1.10596577877976e-58,2.21193155755952e-58,products_enriched_in_LIN,0.299782806447882,0.33498889494698
