Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
LIN	SORBI_3003G324400;SORBI_3003G324500	DNA-binding transcription factor activity and DNA binding	LPC	1	MF	Class sums and ratios	1	2	909	1	8.88	8.88	0.044	DNA binding; DNA-binding transcription factor activity
LIN	SORBI_3003G406600;SORBI_3004G062100	DNA-binding transcription activator activity	FA	1	MF	Class sums and ratios	1	2	20	2	8.85	8.85	0.036	DNA-binding transcription activator activity
LIN	SORBI_3001G028100;SORBI_3001G028200	RNA helicase activity	SQDG	1	MF	Class sums and ratios	1	2	83	1	8.68	8.68	0.0346	RNA helicase activity
LIN	SORBI_3001G164100;SORBI_3001G164200;SORBI_3008G078800	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen and iron ion binding	Cer	1	MF	Class sums and ratios	1	3	367	2	8.68	8.68	0.0356	iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LIN	SORBI_3003G391400;SORBI_3004G331600	single-stranded DNA binding	AEG	1	MF	Individual lipid species	1	2	64	2	8.64	8.64	0.045	single-stranded DNA binding
LIN	SORBI_3001G210000;SORBI_3009G237400	DNA replication checkpoint signaling	PC	1	BP	Individual lipid species	1	2	6	2	8.29	8.29	0.0405	DNA replication checkpoint signaling
LIN	SORBI_3003G103701;SORBI_3008G101300	chromosome organization involved in meiotic cell cycle	PC	1	BP	Individual lipid species	1	2	6	2	8.29	8.29	0.048	chromosome organization involved in meiotic cell cycle
LIN	SORBI_3009G184200;SORBI_3009G251500	chromosome organization	PC	1	BP	Individual lipid species	1	2	6	2	8.29	8.29	0.0419	chromosome organization
LIN	SORBI_3001G033000;SORBI_3009G040500	ribosomal large subunit assembly	TG	1	BP	Individual lipid species	1	2	9	2	8.26	8.26	0.0405	ribosomal large subunit assembly
LIN	SORBI_3001G251200;SORBI_3010G171000	phospholipid translocation	TG	1	BP	Individual lipid species	1	2	9	2	8.26	8.26	0.0495	phospholipid translocation
LIN	SORBI_3002G114900;SORBI_3003G366850	ribosomal large subunit export from nucleus and small subunit export from nucleus	TG	1	BP	Individual lipid species	1	2	9	3	8.26	8.26	0.048	ribosomal large subunit export from nucleus; ribosomal small subunit export from nucleus
LIN	SORBI_3001G103300;SORBI_3003G420500;SORBI_3004G061400	P-type calcium transporter activity	FA	1	MF	Individual lipid species	1	3	16	3	7.97	7.97	0.0213	P-type calcium transporter activity
LIN	SORBI_3010G112200;SORBI_3010G126100;SORBI_3010G126700;SORBI_3010G127600;SORBI_3010G128000;SORBI_3010G128800;SORBI_3010G129100;SORBI_3010G129300	aspartic-type endopeptidase activity	SQDG	1	MF	Individual lipid species	1	8	96	6	7.75	7.75	0.00282	aspartic-type endopeptidase activity
LIN	SORBI_3001G028100;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G195500	helicase activity	FA	1	MF	Class sums and ratios	1	5	59	2	7.5	7.5	0.006	helicase activity
LIN	SORBI_3010G114900;SORBI_3010G144000;SORBI_3010G153100	intracellular protein transport	MGDG	1	BP	Individual lipid species	1	3	142	3	7.23	7.23	0.024	intracellular protein transport
LIN	SORBI_3002G156000;SORBI_3009G042700	sodium ion transport (+2 related terms)	PC	1	BP	Individual lipid species	1	2	7	2	7.11	7.11	0.048	regulation of intracellular pH; sodium ion import across plasma membrane; sodium ion transport
LIN	SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400	ATPase-coupled transmembrane transporter activity	TG	1	MF	Individual lipid species	1	3	16	1	6.97	6.97	0.045	ATPase-coupled transmembrane transporter activity
LIN	SORBI_3008G091300;SORBI_3010G147700	DNA-templated DNA replication	SQDG	1	BP	Individual lipid species	1	2	27	2	6.89	6.89	0.0405	DNA-templated DNA replication
LIN	SORBI_3010G138000;SORBI_3010G162101;SORBI_3010G162500;SORBI_3010G162800;SORBI_3010G162900	FAD binding	SQDG	1	MF	Individual lipid species	1	5	72	2	6.46	6.46	0.0471	FAD binding
LIN	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900;SORBI_3004G342000	aldehyde oxygenase (deformylating) activity	FA	1	MF	Individual lipid species	1	4	27	2	6.29	6.29	0.0213	aldehyde oxygenase (deformylating) activity
LIN	SORBI_3001G031600;SORBI_3002G253800;SORBI_3003G083200;SORBI_3003G385100;SORBI_3004G181600;SORBI_3004G181700;SORBI_3008G123100;SORBI_3010G170550	calmodulin binding	TG	1	MF	Individual lipid species	1	8	48	7	6.19	6.19	0.00106	calmodulin binding
LIN	SORBI_3001G032400;SORBI_3006G190000	defense response to oomycetes	FA	1	BP	Class sums and ratios	1	2	29	2	6.1	6.1	0.0314	defense response to oomycetes
LIN	SORBI_3001G526300;SORBI_3003G388000;SORBI_3009G104900	anaphase-promoting complex-dependent catabolic process	PC	1	BP	Individual lipid species	1	3	13	3	5.74	5.74	0.0373	anaphase-promoting complex-dependent catabolic process
LIN	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900;SORBI_3006G183900	iron ion binding	MGDG, PG, SQDG	3	MF	Class sums and ratios	3	6	433	2	4.99	5.71	0.00606	iron ion binding
LIN	SORBI_3001G164800;SORBI_3001G165000;SORBI_3001G165100;SORBI_3001G165200;SORBI_3001G165301;SORBI_3001G165401	DNA binding	Cer	1	MF	Class sums and ratios	1	6	1166	1	5.47	5.47	0.006	DNA binding
LIN	SORBI_3001G118300;SORBI_3001G251200;SORBI_3010G171000	phospholipid transport	TG	1	BP	Individual lipid species	1	3	21	3	5.31	5.31	0.0405	phospholipid transport
LIN	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050	positive regulation of cytoplasmic translation	SQDG	1	BP	Individual lipid species	1	12	213	12	5.24	5.24	0.048	positive regulation of cytoplasmic translation
LIN	SORBI_3001G261464;SORBI_3001G261472;SORBI_3008G082150;SORBI_3009G133201	positive regulation of cytoplasmic translation	AEG	1	BP/MF	Individual lipid species	2	4	213	3	5.14	5.19	0.0405	positive regulation of cytoplasmic translation | single-stranded RNA binding; translation regulator activity
LIN	SORBI_3010G135300;SORBI_3010G143900;SORBI_3010G144400;SORBI_3010G152500	glycosyltransferase activity	MGDG	1	MF	Individual lipid species	1	4	270	3	5.07	5.07	0.0213	glycosyltransferase activity
LIN	SORBI_3001G192000;SORBI_3001G436900;SORBI_3002G159200	mitophagy	PC	1	BP	Individual lipid species	1	3	15	3	4.98	4.98	0.0399	mitophagy
LIN	SORBI_3008G098700;SORBI_3008G100300;SORBI_3009G010300	post-transcriptional regulation of gene expression	PC	1	BP	Individual lipid species	1	3	15	3	4.98	4.98	0.0405	post-transcriptional regulation of gene expression
LIN	SORBI_3009G038800;SORBI_3009G087000;SORBI_3009G172950	double-strand break repair via break-induced replication	PC	1	BP	Individual lipid species	1	3	15	3	4.98	4.98	0.0405	double-strand break repair via break-induced replication
LIN	SORBI_3001G042200;SORBI_3001G127500;SORBI_3001G134400	mitochondrion organization	TG	1	BP	Individual lipid species	1	3	24	3	4.65	4.65	0.0405	mitochondrion organization
LIN	SORBI_3010G128300;SORBI_3010G128400;SORBI_3010G128700;SORBI_3010G134200;SORBI_3010G140700;SORBI_3010G161600;SORBI_3010G162000	hydrogen peroxide catabolic process	SQDG	1	BP	Individual lipid species	1	7	144	6	4.52	4.52	0.024	hydrogen peroxide catabolic process
LIN	SORBI_3001G125800;SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600;SORBI_3003G385500;SORBI_3004G021600;SORBI_3009G009900;SORBI_3009G010000;SORBI_3009G010150;SORBI_3009G107600;SORBI_3010G132200	response to wounding	PC	1	BP	Individual lipid species	1	11	61	7	4.49	4.49	0.0101	response to wounding
LIN	SORBI_3001G031600;SORBI_3003G385100;SORBI_3003G420500;SORBI_3004G061400;SORBI_3008G126200	calmodulin binding	FA	1	MF	Individual lipid species	1	5	48	5	4.43	4.43	0.0207	calmodulin binding
LIN	SORBI_3001G028100;SORBI_3006G190900;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G195500	helicase activity	FA	1	MF	Individual lipid species	1	6	59	3	4.32	4.32	0.0247	helicase activity
LIN	SORBI_3010G128300;SORBI_3010G128400;SORBI_3010G128700;SORBI_3010G140700;SORBI_3010G161600;SORBI_3010G162000	lactoperoxidase activity and peroxidase activity	SQDG	1	BP/MF	Individual lipid species	2	6	143	5	3.13	3.9	0.0405	cellular oxidant detoxification; response to oxidative stress | lactoperoxidase activity; peroxidase activity
LIN	SORBI_3001G025700;SORBI_3001G512600;SORBI_3004G096300;SORBI_3006G192200	regulation of intracellular signal transduction	FA	1	BP	Individual lipid species	1	4	44	4	3.86	3.86	0.0373	regulation of intracellular signal transduction
LIN	SORBI_3010G119300;SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300	carbohydrate binding	SQDG	1	MF	Individual lipid species	1	6	153	4	3.65	3.65	0.045	carbohydrate binding
LIN	SORBI_3001G103300;SORBI_3002G253800;SORBI_3003G184765;SORBI_3003G184800	calcium ion transmembrane transport	TG	1	BP	Individual lipid species	1	4	41	3	3.63	3.63	0.0405	calcium ion transmembrane transport
LIN	SORBI_3001G269200;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900;SORBI_3004G342000	lipid biosynthetic process	FA	1	BP	Individual lipid species	1	5	60	3	3.54	3.54	0.0399	lipid biosynthetic process
LIN	SORBI_3002G210300;SORBI_3002G210401;SORBI_3003G355200;SORBI_3003G410800	glycoprotein biosynthetic process	FA	1	BP	Class sums and ratios	1	4	100	3	3.54	3.54	0.0469	glycoprotein biosynthetic process
LIN	SORBI_3002G321300;SORBI_3003G267700;SORBI_3003G271300;SORBI_3004G087700;SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400;SORBI_3005G183900;SORBI_3007G210500;SORBI_3009G083300	ABC-type transporter activity	TG	1	MF	Individual lipid species	1	10	117	6	3.18	3.18	0.0207	ABC-type transporter activity
LIN	SORBI_3001G101700;SORBI_3003G406600;SORBI_3004G062100;SORBI_3006G190800	positive regulation of DNA-templated transcription	FA	1	BP	Class sums and ratios	1	4	112	4	3.16	3.16	0.0205	positive regulation of DNA-templated transcription
LIN	SORBI_3004G102500;SORBI_3004G102700;SORBI_3004G104800;SORBI_3004G252200	brassinosteroid mediated signaling pathway	PC	1	BP	Individual lipid species	1	4	32	3	3.11	3.11	0.0405	brassinosteroid mediated signaling pathway
LIN	SORBI_3010G123500;SORBI_3010G123750;SORBI_3010G134801;SORBI_3010G144050;SORBI_3010G151200;SORBI_3010G151325;SORBI_3010G153600;SORBI_3010G154000	zinc ion binding	MGDG	1	MF	Individual lipid species	1	8	909	6	3.01	3.01	0.0258	zinc ion binding
LIN	SORBI_3003G033100;SORBI_3010G113150;SORBI_3010G116600;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G150575;SORBI_3010G152250;SORBI_3010G161050	mRNA binding	SQDG	1	MF	Individual lipid species	1	15	474	15	2.94	2.94	0.0265	mRNA binding
LIN	SORBI_3010G116300;SORBI_3010G125500;SORBI_3010G131900;SORBI_3010G140500;SORBI_3010G154000;SORBI_3010G156800;SORBI_3010G157300;SORBI_3010G157500;SORBI_3010G158100;SORBI_3010G158400;SORBI_3010G158500;SORBI_3010G164900	ubiquitin protein ligase activity	SQDG	1	MF	Individual lipid species	1	12	392	8	2.85	2.85	0.0213	ubiquitin protein ligase activity
LIN	SORBI_3001G100200;SORBI_3001G168600;SORBI_3004G021600;SORBI_3009G009900;SORBI_3009G010000;SORBI_3009G010150;SORBI_3009G107600;SORBI_3010G132200	serine-type endopeptidase inhibitor activity	PC	1	MF	Individual lipid species	1	8	72	6	2.76	2.76	0.045	serine-type endopeptidase inhibitor activity
LIN	SORBI_3003G033100;SORBI_3010G139000;SORBI_3010G151900	RNA processing	SQDG	1	BP	Individual lipid species	1	3	103	3	2.71	2.71	0.048	RNA processing
LIN	SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G185800;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900	transmembrane transporter activity	FA	1	MF	Class sums and ratios	1	12	402	4	2.64	2.64	0.00553	transmembrane transporter activity
LIN	SORBI_3001G257200;SORBI_3002G158700;SORBI_3004G252900;SORBI_3006G017600	transcription initiation at RNA polymerase II promoter	PC	1	BP	Individual lipid species	1	4	38	4	2.62	2.62	0.048	transcription initiation at RNA polymerase II promoter
LIN	SORBI_3002G253800;SORBI_3003G385100;SORBI_3004G181600;SORBI_3004G181700;SORBI_3005G098800	calmodulin binding	PC	1	MF	Individual lipid species	1	5	48	4	2.59	2.59	0.045	calmodulin binding
LIN	SORBI_3010G107901;SORBI_3010G108500;SORBI_3010G113150;SORBI_3010G120500;SORBI_3010G123500;SORBI_3010G123750;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G141700;SORBI_3010G144050;SORBI_3010G145300;SORBI_3010G151200;SORBI_3010G151325;SORBI_3010G152250;SORBI_3010G153600;SORBI_3010G154000;SORBI_3010G161050;SORBI_3010G164900	zinc ion binding	SQDG	1	MF	Individual lipid species	1	24	909	20	2.46	2.46	0.00181	zinc ion binding
LIN	SORBI_3003G324400;SORBI_3003G324500;SORBI_3003G406600;SORBI_3003G406800;SORBI_3003G407200;SORBI_3003G408800;SORBI_3006G184700	DNA binding	PG	1	MF	Class sums and ratios	1	7	1166	3	2.42	2.42	0.0191	DNA binding
LIN	SORBI_3001G528350;SORBI_3003G369200;SORBI_3008G101300;SORBI_3009G024800;SORBI_3009G087000;SORBI_3009G172950	single-stranded DNA binding	PC	1	MF	Individual lipid species	1	6	64	6	2.33	2.33	0.0391	single-stranded DNA binding
LIN	SORBI_3003G383100;SORBI_3003G407300;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100;SORBI_3004G045200;SORBI_3004G045500;SORBI_3004G045700	signal transduction	FA	1	BP	Individual lipid species	1	9	167	3	2.29	2.29	0.0472	signal transduction
LIN	SORBI_3003G033400;SORBI_3008G091300;SORBI_3010G107901;SORBI_3010G113150;SORBI_3010G123750;SORBI_3010G127550;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G145300;SORBI_3010G145800;SORBI_3010G147250;SORBI_3010G147300;SORBI_3010G147350;SORBI_3010G152250;SORBI_3010G153300;SORBI_3010G161050	nucleic acid binding	SQDG	1	MF	Individual lipid species	1	23	970	20	2.21	2.21	0.00211	nucleic acid binding
LIN	SORBI_3010G112200;SORBI_3010G126100;SORBI_3010G126700;SORBI_3010G127600;SORBI_3010G128000;SORBI_3010G128800;SORBI_3010G129100;SORBI_3010G129300;SORBI_3010G131700;SORBI_3010G141500;SORBI_3010G141800	proteolysis	SQDG	1	BP	Individual lipid species	1	11	474	9	2.16	2.16	0.0201	proteolysis
LIN	SORBI_3010G135300;SORBI_3010G143900;SORBI_3010G144400;SORBI_3010G152300;SORBI_3010G152400;SORBI_3010G152500	glycosyltransferase activity	SQDG	1	MF	Individual lipid species	1	6	270	4	2.07	2.07	0.0419	glycosyltransferase activity
LIN	SORBI_3001G030500;SORBI_3001G030600;SORBI_3002G085400;SORBI_3002G085700;SORBI_3002G085800;SORBI_3002G311300;SORBI_3002G311400;SORBI_3004G089000;SORBI_3004G191000;SORBI_3004G191100;SORBI_3008G149000	UDP-glycosyltransferase activity	TG	1	MF	Individual lipid species	1	11	200	6	2.04	2.04	0.045	UDP-glycosyltransferase activity
LIN	SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G133900;SORBI_3001G223100;SORBI_3002G116100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3003G185100;SORBI_3004G260500;SORBI_3004G311000;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G016000;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3009G084400;SORBI_3010G133100;SORBI_3010G175900	transmembrane transporter activity	TG	1	MF	Individual lipid species	1	22	402	15	2.03	2.03	0.00181	transmembrane transporter activity
LIN	SORBI_3001G009600;SORBI_3001G103300;SORBI_3001G129000;SORBI_3001G251200;SORBI_3002G116200;SORBI_3002G253800;SORBI_3002G321300;SORBI_3003G267700;SORBI_3003G271300;SORBI_3004G047200;SORBI_3004G087700;SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400;SORBI_3004G151000;SORBI_3004G183800;SORBI_3005G183900;SORBI_3007G210500;SORBI_3008G081900;SORBI_3008G088200;SORBI_3008G123000;SORBI_3009G083300;SORBI_3010G171000	ATP hydrolysis activity	TG	1	MF	Individual lipid species	1	23	430	19	1.99	1.99	0.00181	ATP hydrolysis activity
LIN	SORBI_3001G039700;SORBI_3003G145400;SORBI_3003G328700;SORBI_3004G043750;SORBI_3004G078800;SORBI_3004G102500;SORBI_3004G102700;SORBI_3004G253300;SORBI_3006G017600	DNA-templated transcription	PC	1	BP	Individual lipid species	1	9	114	8	1.96	1.96	0.0297	DNA-templated transcription
LIN	SORBI_3001G041200;SORBI_3001G129000;SORBI_3003G185200;SORBI_3004G047200;SORBI_3004G183800;SORBI_3005G043000;SORBI_3008G081900;SORBI_3008G088200;SORBI_3010G073700	protein folding	TG	1	BP	Individual lipid species	1	9	171	9	1.96	1.96	0.0355	protein folding
LIN	SORBI_3001G002000;SORBI_3002G113600;SORBI_3003G045000;SORBI_3003G383100;SORBI_3003G407300;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100;SORBI_3004G045500;SORBI_3004G045700;SORBI_3007G091400;SORBI_3009G173100	signal transduction	PC	1	BP	Individual lipid species	1	13	167	8	1.94	1.94	0.0171	signal transduction
LIN	SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G169100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G185800;SORBI_3003G076200;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G311000;SORBI_3008G081400;SORBI_3008G081500	transmembrane transporter activity	FA	1	MF	Individual lipid species	1	18	402	9	1.9	1.9	0.00816	transmembrane transporter activity
LIN	SORBI_3001G117200;SORBI_3002G114800;SORBI_3002G117100;SORBI_3005G220200;SORBI_3008G015600;SORBI_3008G077600;SORBI_3009G038900	intracellular signal transduction	TG	1	BP	Individual lipid species	1	7	137	7	1.9	1.9	0.0405	intracellular signal transduction
LIN	SORBI_3001G012600;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G128300;SORBI_3001G133900;SORBI_3001G223100;SORBI_3001G481800;SORBI_3002G116100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G311200;SORBI_3002G321300;SORBI_3003G184800;SORBI_3003G185100;SORBI_3003G201500;SORBI_3003G267700;SORBI_3003G271300;SORBI_3003G271400;SORBI_3004G087700;SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400;SORBI_3004G260500;SORBI_3004G311000;SORBI_3005G183900;SORBI_3006G244000;SORBI_3007G210500;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G016000;SORBI_3008G019400;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3009G042700;SORBI_3009G073100;SORBI_3009G083300;SORBI_3009G084400;SORBI_3010G133100;SORBI_3010G153700;SORBI_3010G175900	transmembrane transport	TG	1	BP	Individual lipid species	1	44	865	31	1.89	1.89	0.00121	transmembrane transport
LIN	SORBI_3010G110100;SORBI_3010G111800;SORBI_3010G116200;SORBI_3010G148800;SORBI_3010G152700	DNA-binding transcription factor activity	MGDG	1	MF	Individual lipid species	1	5	909	4	1.88	1.88	0.0419	DNA-binding transcription factor activity
LIN	SORBI_3001G028100;SORBI_3001G028200;SORBI_3003G087200;SORBI_3004G009000;SORBI_3006G183800	nucleic acid binding	SQDG	1	MF	Class sums and ratios	1	5	970	4	1.86	1.86	0.044	nucleic acid binding
LIN	SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G403700;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G185800;SORBI_3003G086300;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3006G184400;SORBI_3006G219300	transmembrane transport	FA	1	BP	Class sums and ratios	1	18	865	8	1.84	1.84	0.00494	transmembrane transport
LIN	SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100;SORBI_3004G045500;SORBI_3004G045700;SORBI_3008G016200;SORBI_3008G077600	signal transduction	TG	1	BP	Individual lipid species	1	8	167	3	1.78	1.78	0.048	signal transduction
LIN	SORBI_3001G211500;SORBI_3001G262700;SORBI_3001G262900;SORBI_3003G107500;SORBI_3004G151000;SORBI_3004G181500;SORBI_3008G101300	DNA repair	TG	1	BP	Individual lipid species	1	7	151	6	1.72	1.72	0.048	DNA repair
LIN	SORBI_3010G110100;SORBI_3010G111800;SORBI_3010G116200;SORBI_3010G123500;SORBI_3010G148800;SORBI_3010G151325;SORBI_3010G152700	regulation of DNA-templated transcription	MGDG	1	BP	Individual lipid species	1	7	1464	6	1.64	1.64	0.0297	regulation of DNA-templated transcription
LIN	SORBI_3003G033500;SORBI_3010G128300;SORBI_3010G128400;SORBI_3010G128700;SORBI_3010G131900;SORBI_3010G140700;SORBI_3010G146800;SORBI_3010G161600;SORBI_3010G162000	metal ion binding	SQDG	1	MF	Individual lipid species	1	9	566	8	1.48	1.48	0.045	metal ion binding
LIN	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G169100;SORBI_3001G403700;SORBI_3001G512300;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G185800;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G122300;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G219300;SORBI_3007G162400;SORBI_3008G081400;SORBI_3008G081500	transmembrane transport	FA	1	BP	Individual lipid species	1	29	865	18	1.42	1.42	0.00726	transmembrane transport
LIN	SORBI_3002G141900;SORBI_3002G159900;SORBI_3006G025300;SORBI_3010G127800;SORBI_3010G131600;SORBI_3010G133300;SORBI_3010G136900;SORBI_3010G138400;SORBI_3010G146100;SORBI_3010G147200;SORBI_3010G151575;SORBI_3010G153700;SORBI_3010G165500	transmembrane transport	SQDG	1	BP	Individual lipid species	1	13	865	13	1.4	1.4	0.0405	transmembrane transport
LIN	SORBI_3001G000400;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G128300;SORBI_3001G169100;SORBI_3001G233400;SORBI_3001G256900;SORBI_3001G454100;SORBI_3001G457200;SORBI_3002G116100;SORBI_3002G156000;SORBI_3002G156400;SORBI_3002G306300;SORBI_3003G201500;SORBI_3003G371400;SORBI_3003G371600;SORBI_3003G372100;SORBI_3004G019800;SORBI_3004G075800;SORBI_3004G102800;SORBI_3004G311000;SORBI_3004G349550;SORBI_3005G088500;SORBI_3005G225800;SORBI_3006G219300;SORBI_3006G244000;SORBI_3007G039500;SORBI_3007G039600;SORBI_3007G181100;SORBI_3008G104500;SORBI_3008G105500;SORBI_3008G106100;SORBI_3008G111100;SORBI_3008G111300;SORBI_3009G042700;SORBI_3009G057700;SORBI_3009G073100;SORBI_3009G084400;SORBI_3009G085900;SORBI_3009G106800;SORBI_3009G136100;SORBI_3009G136600;SORBI_3009G147500;SORBI_3009G152800;SORBI_3009G249500;SORBI_3010G159400	transmembrane transport	PC	1	BP	Individual lipid species	1	47	865	39	1.35	1.35	0.00121	transmembrane transport
LIN	SORBI_3010G119300;SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G127200;SORBI_3010G127300;SORBI_3010G137300;SORBI_3010G137400;SORBI_3010G138500;SORBI_3010G139100;SORBI_3010G163800	protein serine/threonine kinase activity	SQDG	1	MF	Individual lipid species	1	10	690	8	1.35	1.35	0.0419	protein serine/threonine kinase activity
LIN	SORBI_3001G102300;SORBI_3001G127800;SORBI_3001G210000;SORBI_3001G211500;SORBI_3001G227900;SORBI_3001G233600;SORBI_3001G286700;SORBI_3001G290400;SORBI_3001G338800;SORBI_3001G528200;SORBI_3001G531100;SORBI_3002G026500;SORBI_3002G027401;SORBI_3002G115900;SORBI_3002G116300;SORBI_3002G121600;SORBI_3002G251700;SORBI_3002G253000;SORBI_3002G380200;SORBI_3003G096300;SORBI_3003G105800;SORBI_3003G328700;SORBI_3003G369200;SORBI_3003G370300;SORBI_3003G406600;SORBI_3003G406800;SORBI_3003G407200;SORBI_3003G408800;SORBI_3004G043750;SORBI_3004G102500;SORBI_3004G102700;SORBI_3004G181500;SORBI_3006G017800;SORBI_3006G118150;SORBI_3006G118200;SORBI_3006G120301;SORBI_3006G120400;SORBI_3007G181500;SORBI_3008G071200;SORBI_3008G101300;SORBI_3009G024700;SORBI_3009G024800;SORBI_3009G039000;SORBI_3009G039100;SORBI_3009G039200;SORBI_3009G039600;SORBI_3009G057600;SORBI_3009G083900;SORBI_3009G086800;SORBI_3009G087000;SORBI_3009G087300;SORBI_3009G111200;SORBI_3009G153400;SORBI_3009G172950;SORBI_3009G173400;SORBI_3009G184300;SORBI_3009G237400;SORBI_3009G245500;SORBI_3010G137600;SORBI_3010G215100;SORBI_3010G221400;SORBI_3010G221500;SORBI_3010G224200	DNA binding	PC	1	MF	Individual lipid species	1	63	1166	43	1.34	1.34	0.00106	DNA binding
LIN	SORBI_3001G000400;SORBI_3001G103300;SORBI_3001G129000;SORBI_3001G229850;SORBI_3001G230000;SORBI_3002G116200;SORBI_3002G156400;SORBI_3002G253800;SORBI_3004G011700;SORBI_3004G047200;SORBI_3004G131040;SORBI_3004G183800;SORBI_3005G098800;SORBI_3005G225800;SORBI_3006G216800;SORBI_3006G219300;SORBI_3007G039300;SORBI_3007G090900;SORBI_3009G087000;SORBI_3009G172950;SORBI_3009G184200;SORBI_3009G251500	ATP hydrolysis activity	PC	1	MF	Individual lipid species	1	22	430	21	1.27	1.27	0.0213	ATP hydrolysis activity
