Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
CTL	SORBI_3001G248200;SORBI_3001G248300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600	proteolysis	PC	1	BP	Individual lipid species	1	6	474	3	9.46	9.46	0.00364	proteolysis
CTL	SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014200;SORBI_3005G014800	DNA-binding transcription factor activity	PA	1	BP/MF	Class sums and ratios	2	4	909	2	5.51	8.88	0.00462	DNA-binding transcription factor activity | regulation of DNA-templated transcription
CTL	SORBI_3003G069950;SORBI_3006G039800;SORBI_3010G143600;SORBI_3010G194600	positive regulation of defense response	TG	1	BP	Individual lipid species	1	4	20	4	8.59	8.59	0.00637	positive regulation of defense response
CTL	SORBI_3002G044000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400	formation of cytoplasmic translation initiation complex	TG	1	BP	Individual lipid species	1	4	21	6	8.18	8.18	0.00394	formation of cytoplasmic translation initiation complex
CTL	SORBI_3001G024400;SORBI_3002G091200;SORBI_3002G091300	pectinesterase inhibitor activity	TG	1	MF	Individual lipid species	1	3	16	2	8.05	8.05	0.0174	pectinesterase inhibitor activity
CTL	SORBI_3003G078700;SORBI_3005G145100;SORBI_3010G193300	phospholipid metabolic process	TG	1	BP	Individual lipid species	1	3	16	3	8.05	8.05	0.00897	phospholipid metabolic process
CTL	SORBI_3001G021500;SORBI_3001G224300	plant-type secondary cell wall biogenesis	TG	1	BP	Individual lipid species	1	2	11	2	7.81	7.81	0.027	plant-type secondary cell wall biogenesis
CTL	SORBI_3001G021900;SORBI_3001G022000	auxin metabolic process	TG	1	BP	Individual lipid species	1	2	11	1	7.81	7.81	0.0455	auxin metabolic process
CTL	SORBI_3001G022700;SORBI_3007G090600	pollen tube development	TG	1	BP	Individual lipid species	1	2	11	2	7.81	7.81	0.0253	pollen tube development
CTL	SORBI_3001G260701;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200	transaminase activity	TG	1	MF	Individual lipid species	1	4	24	3	7.16	7.16	0.0105	transaminase activity
CTL	SORBI_3004G140600;SORBI_3006G032900;SORBI_3010G134500	3'-5'-RNA exonuclease activity	TG	1	MF	Individual lipid species	1	3	19	3	6.78	6.78	0.0184	3'-5'-RNA exonuclease activity
CTL	SORBI_3002G073200;SORBI_3006G210400	metalloaminopeptidase activity	TG	1	MF	Individual lipid species	1	2	15	2	5.72	5.72	0.0392	metalloaminopeptidase activity
CTL	SORBI_3002G092300;SORBI_3004G205000;SORBI_3009G050500;SORBI_3010G140600	iron-sulfur cluster assembly	TG	1	BP	Individual lipid species	1	4	30	4	5.72	5.72	0.00897	iron-sulfur cluster assembly
CTL	SORBI_3002G044000;SORBI_3006G044600;SORBI_3009G234400	cytoplasmic translational initiation	TG	1	BP	Individual lipid species	1	3	25	3	5.15	5.15	0.019	cytoplasmic translational initiation
CTL	SORBI_3001G122200;SORBI_3006G049600	protein-lysine N-methyltransferase activity	TG	1	MF	Individual lipid species	1	2	17	2	5.05	5.05	0.0455	protein-lysine N-methyltransferase activity
CTL	SORBI_3001G318000;SORBI_3001G318500;SORBI_3001G318600;SORBI_3001G318700;SORBI_3001G319000;SORBI_3001G319300;SORBI_3001G319500;SORBI_3003G426300;SORBI_3003G426500;SORBI_3003G426600	glutathione metabolic process	TG	1	BP/MF	Individual lipid species	2	10	85	2	4.57	5.05	0.0092	glutathione metabolic process | glutathione transferase activity
CTL	SORBI_3006G048700;SORBI_3007G071600;SORBI_3008G005600;SORBI_3009G111400	fatty acid metabolic process	TG	1	BP	Individual lipid species	1	4	37	4	4.64	4.64	0.0167	fatty acid metabolic process
CTL	SORBI_3001G221850;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750	positive regulation of cytoplasmic translation	TG	1	BP/MF	Individual lipid species	2	20	213	20	3.99	4.03	0.00343	positive regulation of cytoplasmic translation | single-stranded RNA binding; translation regulator activity
CTL	SORBI_3003G370100;SORBI_3005G012200;SORBI_3005G017000	protein serine/threonine kinase activity	PA	1	MF	Individual lipid species	1	3	690	2	3.99	3.99	0.0402	protein serine/threonine kinase activity
CTL	SORBI_3001G259000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400	translational initiation	TG	1	BP	Individual lipid species	1	4	48	6	3.58	3.58	0.0222	translational initiation
CTL	SORBI_3001G259000;SORBI_3002G044000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400	translation initiation factor activity	TG	1	MF	Individual lipid species	1	5	62	7	3.46	3.46	0.0122	translation initiation factor activity
CTL	SORBI_3001G021500;SORBI_3001G224300;SORBI_3007G100800	cellulose biosynthetic process	TG	1	BP	Individual lipid species	1	3	38	3	3.39	3.39	0.049	cellulose biosynthetic process
CTL	SORBI_3003G369066;SORBI_3003G369200;SORBI_3003G370100;SORBI_3005G017000	nucleotide binding	PA	1	MF	Individual lipid species	1	4	1133	2	3.24	3.24	0.0402	nucleotide binding
CTL	SORBI_3001G260701;SORBI_3001G357300;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200;SORBI_3008G005300	pyridoxal phosphate binding	TG	1	MF	Individual lipid species	1	6	84	5	3.07	3.07	0.0122	pyridoxal phosphate binding
CTL	SORBI_3003G369066;SORBI_3003G369200;SORBI_3005G013200	nucleic acid binding	PA	1	MF	Individual lipid species	1	3	970	2	2.84	2.84	0.0491	nucleic acid binding
CTL	SORBI_3001G022900;SORBI_3002G043500;SORBI_3004G205000;SORBI_3009G050500	iron-sulfur cluster binding	TG	1	MF	Individual lipid species	1	4	61	4	2.82	2.82	0.0392	iron-sulfur cluster binding
CTL	SORBI_3001G022500;SORBI_3001G221500;SORBI_3002G042500	tRNA aminoacylation for protein translation	TG	1	BP	Individual lipid species	1	3	47	3	2.74	2.74	0.0467	tRNA aminoacylation for protein translation
CTL	SORBI_3001G021800;SORBI_3001G022500;SORBI_3001G024000;SORBI_3001G221850;SORBI_3001G357200;SORBI_3001G499500;SORBI_3002G244600;SORBI_3003G206600;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3006G208800;SORBI_3006G278600;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750;SORBI_3010G150575	mRNA binding	TG	1	MF	Individual lipid species	1	30	474	28	2.72	2.72	0.00132	mRNA binding
CTL	SORBI_3001G024400;SORBI_3002G091200;SORBI_3002G091300;SORBI_3003G203900;SORBI_3009G111000	enzyme inhibitor activity	TG	1	MF	Individual lipid species	1	5	85	4	2.53	2.53	0.0402	enzyme inhibitor activity
CTL	SORBI_3005G144600;SORBI_3006G035600;SORBI_3007G018700	microtubule-based movement	TG	1	BP	Individual lipid species	1	3	53	3	2.43	2.43	0.0467	microtubule-based movement
CTL	SORBI_3001G023200;SORBI_3002G042400;SORBI_3002G043500;SORBI_3004G103901;SORBI_3004G104200;SORBI_3004G104400;SORBI_3006G038500;SORBI_3008G064100	flavin adenine dinucleotide binding	TG	1	MF	Individual lipid species	1	8	157	5	2.19	2.19	0.02	flavin adenine dinucleotide binding
CTL	SORBI_3003G252200;SORBI_3008G095200;SORBI_3008G103500;SORBI_3009G140700	regulation of DNA-templated transcription	PC	1	BP	Individual lipid species	1	4	1464	4	2.04	2.04	0.0467	regulation of DNA-templated transcription
CTL	SORBI_3001G021900;SORBI_3001G022000;SORBI_3002G041533;SORBI_3002G041800;SORBI_3002G042000;SORBI_3002G042300;SORBI_3002G091500;SORBI_3003G358300;SORBI_3003G360700;SORBI_3005G144300;SORBI_3005G146300;SORBI_3006G044200;SORBI_3007G090415;SORBI_3007G090424	hydrolase activity	TG	1	MF	Individual lipid species	1	14	303	8	1.98	1.98	0.00374	hydrolase activity
CTL	SORBI_3001G223100;SORBI_3001G223200;SORBI_3001G357500;SORBI_3001G357650;SORBI_3001G357700;SORBI_3001G357800;SORBI_3002G245300;SORBI_3002G322800;SORBI_3003G422800;SORBI_3006G130700;SORBI_3006G277100;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G105500;SORBI_3008G132800;SORBI_3009G088200;SORBI_3009G099000;SORBI_3009G235900	transmembrane transporter activity	TG	1	MF	Individual lipid species	1	18	402	13	1.92	1.92	0.00343	transmembrane transporter activity
CTL	SORBI_3001G023000;SORBI_3002G043300;SORBI_3005G114800;SORBI_3006G046700;SORBI_3006G050000;SORBI_3006G280000	intracellular protein transport	TG	1	BP	Individual lipid species	1	6	142	6	1.81	1.81	0.04	intracellular protein transport
CTL	SORBI_3001G022500;SORBI_3001G022600;SORBI_3001G126400;SORBI_3001G221850;SORBI_3001G222500;SORBI_3001G222900;SORBI_3001G224200;SORBI_3001G356500;SORBI_3001G356600;SORBI_3001G357200;SORBI_3003G422900;SORBI_3004G137601;SORBI_3004G140600;SORBI_3004G206200;SORBI_3004G206500;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3006G209700;SORBI_3007G071200;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G063300;SORBI_3008G094500;SORBI_3008G131800;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750	nucleic acid binding	TG	1	MF	Individual lipid species	1	38	970	31	1.68	1.68	0.00132	nucleic acid binding
CTL	SORBI_3001G221500;SORBI_3002G148166;SORBI_3002G244600;SORBI_3002G364301;SORBI_3003G205400;SORBI_3004G103700;SORBI_3007G071300;SORBI_3007G110500;SORBI_3009G050300;SORBI_3009G237200;SORBI_3010G150575	translation	TG	1	BP	Individual lipid species	1	11	309	11	1.53	1.53	0.0092	translation
CTL	SORBI_3001G022600;SORBI_3001G023900;SORBI_3001G221850;SORBI_3003G357232;SORBI_3004G137601;SORBI_3005G114800;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G042900;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3006G209700;SORBI_3007G099500;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3008G131800;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750;SORBI_3010G151200;SORBI_3010G151325;SORBI_3010G194600	zinc ion binding	TG	1	MF	Individual lipid species	1	31	909	28	1.46	1.46	0.0122	zinc ion binding
CTL	SORBI_3002G244600;SORBI_3002G364301;SORBI_3003G205400;SORBI_3004G103700;SORBI_3007G071300;SORBI_3007G110500;SORBI_3009G050300;SORBI_3009G237200;SORBI_3010G150575	structural constituent of ribosome	TG	1	MF	Individual lipid species	1	9	311	9	1.24	1.24	0.0312	structural constituent of ribosome
CTL	SORBI_3001G223100;SORBI_3001G223200;SORBI_3001G357500;SORBI_3001G357650;SORBI_3001G357700;SORBI_3001G357800;SORBI_3001G496800;SORBI_3002G245300;SORBI_3002G322800;SORBI_3003G422800;SORBI_3005G125400;SORBI_3005G183900;SORBI_3006G130700;SORBI_3006G277100;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G105500;SORBI_3008G132300;SORBI_3008G132500;SORBI_3008G132800;SORBI_3009G088200;SORBI_3009G099000;SORBI_3009G235900;SORBI_3010G146100	transmembrane transport	TG	1	BP	Individual lipid species	1	24	865	17	1.19	1.19	0.0136	transmembrane transport
LIN	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900	sphingolipid C4-monooxygenase activity and aldehyde oxygenase (deformylating) activity	AEG, DG, DGDG, FA, GalCer, MG, MGDG, PA, PC, PE, PG, SQDG, TG	13	BP/MF	Class sums and ratios; Individual lipid species	27	3	11	1	4.43	323.74	0.000152	aldehyde oxygenase (deformylating) activity; sphingolipid C4-monooxygenase activity | lipid biosynthetic process | sphingolipid C4-monooxygenase activity
LIN	SORBI_3005G105000;SORBI_3005G106600	MAPK cascade	PS	1	BP	Individual lipid species	1	2	39	2	79.61	79.61	0.00121	MAPK cascade
LIN	SORBI_3003G088800;SORBI_3003G088900	cellular response to phosphate starvation	AEG, DG, DGDG, GalCer, MG, MGDG, PE, PG, SQDG	9	BP/MF	Class sums and ratios	17	2	21	1	10.6	64.06	0.00494	cellular response to phosphate starvation | copper ion binding
LIN	SORBI_3001G100800;SORBI_3001G101100	nucleotide transmembrane transport and transport	FA	1	BP/MF	Class sums and ratios; Individual lipid species	4	2	3	1	21.24	59.01	0.00704	nucleotide transmembrane transport; nucleotide transport | nucleotide transmembrane transporter activity
LIN	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900	cellular response to phosphate starvation	FA, SQDG	2	BP	Class sums and ratios; Individual lipid species	3	3	21	3	6.07	51.48	0.00494	cellular response to phosphate starvation
LIN	SORBI_3004G151000;SORBI_3004G181500	telomere maintenance via recombination	TG	1	BP	Individual lipid species	1	2	2	2	37.16	37.16	0.0101	telomere maintenance via recombination
LIN	SORBI_3004G009400;SORBI_3004G009500	nitrate transmembrane transporter activity	FA	1	BP/MF	Class sums and ratios	2	2	5	1	14.75	35.4	0.0216	nitrate transmembrane transport | nitrate transmembrane transporter activity
