"Condition","Class","n_accessions","full_panel_pctTIC","resample_lo95","resample_hi95","resample_halfwidth","loo_race_min","loo_race_max","loo_race_maxshift"
"CTL","PC",394,24.2211743677781,24.0347286945288,24.4007708767866,0.183021091128932,24.205636743495,24.3183168834334,0.0971425156552463
"CTL","PA",394,0.016789256062105,0.016224831559757,0.0172696107301384,0.0005223895851907,0.0167113349823788,0.0176611028004173,0.000871846738312351
"CTL","PE",394,5.54303664167746,5.51193791878693,5.57451993237358,0.0312910067933241,5.53512298065606,5.59238478087936,0.0493481392018928
"CTL","LPC",394,0.150325521955846,0.148126574114363,0.152408595391714,0.00214101063867571,0.148302421293103,0.151038431484377,0.00202310066274322
"CTL","LPE",394,0.00646658279399933,0.00637346970805431,0.00656384679475281,9.51885433492531e-05,0.00643757871691847,0.0065706195442358,0.000104036750236478
"CTL","PG",394,0.380524053808567,0.377976834386335,0.383054599774602,0.00253888269413324,0.379988439539171,0.382331189084002,0.0018071352754348
"CTL","PS",394,0.0141575519437136,0.0137741314440396,0.0144771843602299,0.000351526458095187,0.0140482021400509,0.0143562033570116,0.000198651413297949
"CTL","DG",394,12.9792403228336,12.9302909431076,13.0243085385701,0.047008797731217,12.9579195770874,12.9795189681053,0.0213207457461468
"CTL","DGDG",394,12.083589996121,12.0491856041526,12.1168387692786,0.0338265825630124,12.0726100955954,12.0935043332275,0.0109799005256797
"CTL","MG",394,1.30194400394028,1.29652522791562,1.30688700374538,0.00518088791488025,1.29810464202551,1.30469344065876,0.00383936191476852
"CTL","MGDG",394,32.6840505592754,32.5627687462873,32.8185699855265,0.127900619619638,32.6168550883077,32.7060672239593,0.067195470967711
"CTL","SQDG",394,2.75130568404306,2.73397870794216,2.77042552635474,0.0182234092062876,2.74765586083179,2.7544184203489,0.00364982321127094
"CTL","TG",394,2.56599519350257,2.52470432073792,2.60270525872856,0.0390004689953167,2.52422562035382,2.58695131536313,0.0417695731487493
"LIN","PC",363,23.2824609907854,23.0903213086257,23.5010638994004,0.205371295387346,23.1060120948854,23.4098046822948,0.176448895899991
"LIN","PA",363,0.0256000619625351,0.0247641090724315,0.0263527080302063,0.000794299478887404,0.0253370026220241,0.0257772704526994,0.000263059340510945
"LIN","PE",363,6.21172084286869,6.16364370765062,6.25235464892305,0.044355470636213,6.20305144499783,6.24630694567769,0.0345861028089995
"LIN","LPC",363,0.154492987229385,0.15236804344072,0.156320809747389,0.00197638315333444,0.15395872137845,0.15474073335733,0.000534265850934301
"LIN","LPE",363,0.0139218279850754,0.0137167482750457,0.0140997485762979,0.000191500150626087,0.0138904292527279,0.0139408414752768,3.13987323475248e-05
"LIN","PG",363,0.445046316436781,0.443551773833482,0.44651909793658,0.00148366205154862,0.444276895653474,0.446922800405647,0.00187648396886592
"LIN","PS",363,0.0449518354297121,0.0440884997118547,0.0457710280575661,0.000841264172855703,0.0444450614621297,0.0452671437597786,0.000506773967582384
"LIN","DG",363,13.7943332910046,13.7375677521279,13.8475398941761,0.0549860710241212,13.7668797666041,13.8422681415114,0.0479348505067776
"LIN","DGDG",363,12.2068464193104,12.1670664029101,12.2468439361491,0.0398887666195078,12.1974825516533,12.253475191296,0.0466287719855796
"LIN","MG",363,1.0512407127772,1.04691663547942,1.05529879562362,0.00419108007210089,1.04849689684688,1.05484310018753,0.00360238741033103
"LIN","MGDG",363,30.0658825707473,29.9643617040515,30.1816946425455,0.108666469247021,29.9529625261432,30.1771603087944,0.112920044604106
"LIN","SQDG",363,1.27610717010143,1.26832850793194,1.28498401332359,0.00832775269582564,1.27447032164453,1.2835389194147,0.00743174931326429
"LIN","TG",363,4.8954489942969,4.81831362384032,4.95831878394636,0.0700025800530217,4.85817159011696,4.90678573013479,0.0372774041799362
