Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
MF	Individual lipid species	CTL	TG	transmembrane transporter activity	GO:0022857	18	402	13	1.92	0.036	0.00343	SORBI_3001G223100;SORBI_3001G223200;SORBI_3001G357500;SORBI_3001G357650;SORBI_3001G357700;SORBI_3001G357800;SORBI_3002G245300;SORBI_3002G322800;SORBI_3003G422800;SORBI_3006G130700;SORBI_3006G277100;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G105500;SORBI_3008G132800;SORBI_3009G088200;SORBI_3009G099000;SORBI_3009G235900
MF	Individual lipid species	CTL	TG	hydrolase activity	GO:0016787	14	303	8	1.98	0.0586	0.00374	SORBI_3001G021900;SORBI_3001G022000;SORBI_3002G041533;SORBI_3002G041800;SORBI_3002G042000;SORBI_3002G042300;SORBI_3002G091500;SORBI_3003G358300;SORBI_3003G360700;SORBI_3005G144300;SORBI_3005G146300;SORBI_3006G044200;SORBI_3007G090415;SORBI_3007G090424
MF	Individual lipid species	CTL	TG	nicotianamine:2-oxoglutarate transaminase activity	GO:0033855	3	5	2	25.76	0.002	0.00445	SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200
MF	Individual lipid species	CTL	TG	transaminase activity	GO:0008483	4	24	3	7.16	0.0156	0.0105	SORBI_3001G260701;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200
MF	Individual lipid species	CTL	TG	glutathione transferase activity	GO:0004364	10	94	2	4.57	0.00148	0.0105	SORBI_3001G318000;SORBI_3001G318500;SORBI_3001G318600;SORBI_3001G318700;SORBI_3001G319000;SORBI_3001G319300;SORBI_3001G319500;SORBI_3003G426300;SORBI_3003G426500;SORBI_3003G426600
MF	Individual lipid species	CTL	TG	polyamine transmembrane transporter activity	GO:0015203	3	7	1	18.4	0.00492	0.0122	SORBI_3001G357500;SORBI_3001G357700;SORBI_3001G357800
MF	Individual lipid species	CTL	TG	translation initiation factor activity	GO:0003743	5	62	7	3.46	0.0623	0.0122	SORBI_3001G259000;SORBI_3002G044000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400
MF	Individual lipid species	CTL	TG	pyridoxal phosphate binding	GO:0030170	6	84	5	3.07	0.0608	0.0122	SORBI_3001G260701;SORBI_3001G357300;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200;SORBI_3008G005300
MF	Individual lipid species	CTL	TG	zinc ion binding	GO:0008270	31	909	28	1.46	0.0811	0.0122	SORBI_3001G022600;SORBI_3001G023900;SORBI_3001G221850;SORBI_3003G357232;SORBI_3004G137601;SORBI_3005G114800;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G042900;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3006G209700;SORBI_3007G099500;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3008G131800;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750;SORBI_3010G151200;SORBI_3010G151325;SORBI_3010G194600
MF	Individual lipid species	CTL	TG	pectinesterase inhibitor activity	GO:0046910	3	16	2	8.05	0.0322	0.0174	SORBI_3001G024400;SORBI_3002G091200;SORBI_3002G091300
MF	Individual lipid species	CTL	TG	triacylglycerol lipase activity	GO:0004806	2	8	2	10.73	0.0608	0.0184	SORBI_3005G144300;SORBI_3006G248100
MF	Individual lipid species	CTL	TG	ferric iron binding	GO:0008199	2	8	2	10.73	0.0608	0.0184	SORBI_3005G146300;SORBI_3008G004800
MF	Individual lipid species	CTL	TG	protein serine/threonine/tyrosine kinase activity	GO:0004712	2	9	2	9.54	0.0708	0.0184	SORBI_3001G122100;SORBI_3004G202500
MF	Individual lipid species	CTL	TG	3'-5'-RNA exonuclease activity	GO:0000175	3	19	3	6.78	0.0487	0.0184	SORBI_3004G140600;SORBI_3006G032900;SORBI_3010G134500
MF	Individual lipid species	CTL	TG	phosphatidate phosphatase activity	GO:0008195	2	10	2	8.59	0.0811	0.0195	SORBI_3003G078700;SORBI_3010G193300
MF	Individual lipid species	CTL	TG	flavin adenine dinucleotide binding	GO:0050660	8	157	5	2.19	0.104	0.02	SORBI_3001G023200;SORBI_3002G042400;SORBI_3002G043500;SORBI_3004G103901;SORBI_3004G104200;SORBI_3004G104400;SORBI_3006G038500;SORBI_3008G064100
MF	Individual lipid species	CTL	TG	orotate phosphoribosyltransferase activity	GO:0004588	2	3	1	28.62	0.0132	0.0224	SORBI_3003G427200;SORBI_3003G427300
MF	Individual lipid species	CTL	TG	orotidine-5'-phosphate decarboxylase activity	GO:0004590	2	3	1	28.62	0.0132	0.0224	SORBI_3003G427200;SORBI_3003G427300
MF	Individual lipid species	CTL	TG	structural constituent of ribosome	GO:0003735	9	311	9	1.24	0.485	0.0312	SORBI_3002G244600;SORBI_3002G364301;SORBI_3003G205400;SORBI_3004G103700;SORBI_3007G071300;SORBI_3007G110500;SORBI_3009G050300;SORBI_3009G237200;SORBI_3010G150575
MF	Individual lipid species	CTL	TG	metalloaminopeptidase activity	GO:0070006	2	15	2	5.72	0.133	0.0392	SORBI_3002G073200;SORBI_3006G210400
MF	Individual lipid species	CTL	TG	iron-sulfur cluster binding	GO:0051536	4	61	4	2.82	0.142	0.0392	SORBI_3001G022900;SORBI_3002G043500;SORBI_3004G205000;SORBI_3009G050500
