Layer,n_CTL,n_LIN,n_shared,CTL_only,LIN_only,expected_shared,fold_enrichment,jaccard,p_hypergeom
All layers,1165,4323,354,811,3969,148.00878713962442,2.3917498875661574,0.06895208414491624,4.714659786147188e-59
Individual lipids,1100,4319,289,811,4030,139.621477062333,2.06988212759688,0.0563352826510721,3.62379371568146e-35
Class sums / ratios,115,812,18,97,794,2.7442912980868135,6.559070464767616,0.019801980198019802,2.850767746889124e-10
