"Genotype","StableHighClassCount","Classes","MeanPercentileAcrossCalls","MinimumCTLPercentile","MinimumLINPercentile"
"PI534117",7,"DGDG; DG; MGDG; MG; LPC; PG; SQDG",0.96240493160699,0.938931297709924,0.911602209944751
"PI533842",6,"PE; PC; MGDG; DGDG; PG; MG",0.961864277714516,0.921119592875318,0.906077348066298
"PI656121",3,"MGDG; DG; DGDG",0.94765673691067,0.913486005089059,0.919889502762431
"PI656051",3,"PG; MGDG; DG",0.944966939863823,0.900763358778626,0.941988950276243
"PI655975",3,"DG; PC; PE",0.936122006194968,0.916030534351145,0.92817679558011
"PI533961",2,"PC; PG",0.984769727130868,0.982188295165394,0.969613259668508
"PI655974",2,"LPE; LPC",0.967831386276412,0.969465648854962,0.933701657458563
"PI534145",2,"LPC; PG",0.94813061448273,0.946564885496183,0.903314917127072
"PI597960",2,"PG; PC",0.943967638086401,0.903307888040712,0.93646408839779
"PI576385",2,"LPC; LPE",0.938824104142943,0.905852417302799,0.939226519337017
"PI534009",2,"MG; DGDG",0.925011949446811,0.908396946564885,0.908839779005525
