"Class","Effect","CI_Low","CI_High","AbsEffect","FoldChange"
"PS",1.01679180751706,0.963345098556201,1.06783290688334,1.01679180751706,2.76431207767127
"SQDG",-0.942084768792643,-0.960422158596724,-0.923003273268884,0.942084768792643,0.389814314933473
"LPE",0.606787664895789,0.57643459802212,0.636077378592577,0.606787664895789,1.83452880202761
"TG",0.476795091624303,0.444514374205478,0.507016311174211,0.476795091624303,1.61090332264983
"MG",-0.387697842178366,-0.400973681333276,-0.373329791362068,0.387697842178366,0.678617361832337
"MGDG",-0.257393836490201,-0.273108899213287,-0.239853896338556,0.257393836490201,0.773063693112115
"PC",-0.217351018084144,-0.240708283740906,-0.192543403384832,0.217351018084144,0.804647473912702
"PA",0.196534115908537,0.120264423197661,0.262478004623756,0.196534115908537,1.21717684526379
"DGDG",-0.164857820904893,-0.176975660017586,-0.150610465641452,0.164857820904893,0.848014265417958
"LPC",-0.138396589272123,-0.165203860740266,-0.11049119128913,0.138396589272123,0.870753291845166
"DG",-0.113730552131991,-0.128339441748043,-0.0977038079204138,0.113730552131991,0.892498405279169
"PE",-0.0637052080233771,-0.0869272162166274,-0.0419363782991806,0.0637052080233771,0.938281556640029
"PG",-0.0116910440679509,-0.0261171994836666,0.00358719446786396,0.0116910440679509,0.98837703064135
