Analysis	source	term_id	term_name	FDR	Fold_Enrichment	query	significant	p_value	term_size	query_size	intersection_size	precision	recall	effective_domain_size	source_order	parents	evidence_codes	intersection
CTL_individual	GO:BP	GO:0051247	positive regulation of protein metabolic process	0.001086061935087632	2.5578319338342066	query_1	TRUE	0.001086061935087632	337	564	27	0.047872340425531915	0.08011869436201781	18006	12696		IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:0009891	positive regulation of biosynthetic process	0.006278161565309787	1.998721964214998	query_1	TRUE	0.006278161565309787	591	564	37	0.06560283687943262	0.06260575296108291	18006	3590		IBA,IBA,IBA,IEA,IEA,IBA,IBA IEA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3001G248100,SORBI_3001G261700,SORBI_3001G295600,SORBI_3003G368300,SORBI_3004G137601,SORBI_3004G175700,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G040800,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G090400,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G106800,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3008G103500,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750,SORBI_3010G141700
CTL_individual	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	0.00810793536019686	1.988441434145623	query_1	TRUE	0.00810793536019686	578	564	36	0.06382978723404255	0.06228373702422145	18006	4024		IBA,IBA,IBA,IEA,IEA,IBA,IBA IEA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3001G248100,SORBI_3001G261700,SORBI_3001G295600,SORBI_3003G368300,SORBI_3004G137601,SORBI_3004G175700,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G040800,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G106800,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3008G103500,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750,SORBI_3010G141700
CTL_individual	GO:BP	GO:0006572	L-tyrosine catabolic process	0.054657863908074214	9.823240589198035	query_1	TRUE	0.054657863908074214	13	564	4	0.0070921985815602835	0.3076923076923077	18006	2175		IBA,IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G104200,SORBI_3005G152200
CTL_individual	GO:BP	GO:0009893	positive regulation of metabolic process	0.05639380645593121	1.7233755419645678	query_1	TRUE	0.05639380645593121	741	564	40	0.07092198581560284	0.05398110661268556	18006	3592		IBA IEA,IBA,IBA,IBA,IEA,IEA,IEA,IBA,IBA IEA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G021800,SORBI_3001G221850,SORBI_3001G248100,SORBI_3001G261700,SORBI_3001G261900,SORBI_3001G295600,SORBI_3003G368300,SORBI_3004G137601,SORBI_3004G175700,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G040800,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3006G208800,SORBI_3007G086032,SORBI_3007G090400,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G106800,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3008G103500,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750,SORBI_3010G141700
CTL_individual	GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	0.06256020071080433	1.7221241281892823	query_1	TRUE	0.06256020071080433	723	564	39	0.06914893617021277	0.05394190871369295	18006	4065		IBA IEA,IBA,IBA,IBA,IEA,IEA,IEA,IBA,IBA IEA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G021800,SORBI_3001G221850,SORBI_3001G248100,SORBI_3001G261700,SORBI_3001G261900,SORBI_3001G295600,SORBI_3003G368300,SORBI_3004G137601,SORBI_3004G175700,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G040800,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3006G208800,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G106800,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3008G103500,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750,SORBI_3010G141700
CTL_individual	GO:BP	GO:1902047	polyamine transmembrane transport	0.08064576857560685	13.682370820668693	query_1	TRUE	0.08064576857560685	7	564	3	0.005319148936170213	0.42857142857142855	18006	20490		IEA,IEA,IEA	SORBI_3001G357500,SORBI_3001G357700,SORBI_3001G357800
CTL_individual	GO:BP	GO:0015849	organic acid transport	0.10019346267564283	3.3803504380475595	query_1	TRUE	0.10019346267564283	85	564	9	0.015957446808510637	0.10588235294117647	18006	4719		IBA,IEA,IEA,IBA IEA,IEA,IEA,IBA,IEA,IBA IEA	SORBI_3001G288900,SORBI_3002G245300,SORBI_3002G245400,SORBI_3003G422800,SORBI_3005G145100,SORBI_3006G000400,SORBI_3006G187800,SORBI_3009G088200,SORBI_3010G151000
CTL_individual	GO:BP	GO:0046942	carboxylic acid transport	0.10019346267564283	3.3803504380475595	query_1	TRUE	0.10019346267564283	85	564	9	0.015957446808510637	0.10588235294117647	18006	11597		IBA,IEA,IEA,IBA IEA,IEA,IEA,IBA,IEA,IBA IEA	SORBI_3001G288900,SORBI_3002G245300,SORBI_3002G245400,SORBI_3003G422800,SORBI_3005G145100,SORBI_3006G000400,SORBI_3006G187800,SORBI_3009G088200,SORBI_3010G151000
CTL_individual	GO:BP	GO:0015846	polyamine transport	0.1071309831395713	11.972074468085106	query_1	TRUE	0.1071309831395713	8	564	3	0.005319148936170213	0.375	18006	4716		IEA,IEA,IEA	SORBI_3001G357500,SORBI_3001G357700,SORBI_3001G357800
