Analysis	source	term_id	term_name	FDR	Fold_Enrichment	query	significant	p_value	term_size	query_size	intersection_size	precision	recall	effective_domain_size	source_order	parents	evidence_codes	intersection
CTL_individual__20pct__recurrent	GO:BP	GO:0010608	post-transcriptional regulation of gene expression	0.0014328514243455647	4.243195475433016	query_1	TRUE	0.0014328514243455647	414	123	12	0.0975609756097561	0.028985507246376812	18006	4069		IEA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0016054	organic acid catabolic process	0.0019487152739557732	7.479793484066227	query_1	TRUE	0.0019487152739557732	137	123	7	0.056910569105691054	0.051094890510948905	18006	4844		IBA,IBA,IBA,IBA,IBA,IBA IEA,IBA IEA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G042400,SORBI_3005G152200,SORBI_3008G062200,SORBI_3008G062500,SORBI_3009G111400
CTL_individual__20pct__recurrent	GO:BP	GO:0046395	carboxylic acid catabolic process	0.0019487152739557732	7.479793484066227	query_1	TRUE	0.0019487152739557732	137	123	7	0.056910569105691054	0.051094890510948905	18006	11315		IBA,IBA,IBA,IBA,IBA,IBA IEA,IBA IEA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G042400,SORBI_3005G152200,SORBI_3008G062200,SORBI_3008G062500,SORBI_3009G111400
CTL_individual__20pct__recurrent	GO:BP	GO:0006572	L-tyrosine catabolic process	0.003548216642333533	33.78236397748593	query_1	TRUE	0.003548216642333533	13	123	3	0.024390243902439025	0.23076923076923078	18006	2175		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_individual__20pct__recurrent	GO:BP	GO:0009063	amino acid catabolic process	0.007155415360670462	9.505859993664872	query_1	TRUE	0.007155415360670462	77	123	5	0.04065040650406504	0.06493506493506493	18006	3099		IBA,IBA,IBA,IBA,IBA IEA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200,SORBI_3008G062200,SORBI_3008G062500
CTL_individual__20pct__recurrent	GO:BP	GO:0006570	tyrosine metabolic process	0.010208562049838873	23.114249037227214	query_1	TRUE	0.010208562049838873	19	123	3	0.024390243902439025	0.15789473684210525	18006	2173		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_individual__20pct__recurrent	GO:BP	GO:0044282	small molecule catabolic process	0.012158674560988618	5.337144308943089	query_1	TRUE	0.012158674560988618	192	123	7	0.056910569105691054	0.036458333333333336	18006	10247		IBA,IBA,IBA IEA,IBA,IBA,IBA IEA,IBA IEA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G042400,SORBI_3005G152200,SORBI_3008G062200,SORBI_3008G062500,SORBI_3009G111400
CTL_individual__20pct__recurrent	GO:BP	GO:0001732	formation of cytoplasmic translation initiation complex	0.014207316679377281	19.96230598669623	query_1	TRUE	0.014207316679377281	22	123	3	0.024390243902439025	0.13636363636363635	18006	398		IEA,IEA,IBA	SORBI_3002G044000,SORBI_3006G044600,SORBI_3008G095500
CTL_individual__20pct__recurrent	GO:BP	GO:0170040	proteinogenic amino acid catabolic process	0.02789594345842619	9.29461866047232	query_1	TRUE	0.02789594345842619	63	123	4	0.032520325203252036	0.06349206349206349	18006	19049		IBA,IBA,IBA,IBA IEA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200,SORBI_3008G062500
CTL_individual__20pct__recurrent	GO:BP	GO:1902047	polyamine transmembrane transport	0.02789594345842619	41.825783972125436	query_1	TRUE	0.02789594345842619	7	123	2	0.016260162601626018	0.2857142857142857	18006	20490		IEA,IEA	SORBI_3001G357500,SORBI_3001G357800
CTL_individual__20pct__recurrent	GO:BP	GO:1901606	alpha-amino acid catabolic process	0.030420551674341104	8.739716053876958	query_1	TRUE	0.030420551674341104	67	123	4	0.032520325203252036	0.05970149253731343	18006	20184		IBA,IBA,IBA,IBA IEA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200,SORBI_3008G062500
CTL_individual__20pct__recurrent	GO:BP	GO:0009074	aromatic amino acid family catabolic process	0.030420551674341104	14.639024390243902	query_1	TRUE	0.030420551674341104	30	123	3	0.024390243902439025	0.1	18006	3104		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_individual__20pct__recurrent	GO:BP	GO:0015846	polyamine transport	0.03219858834297082	36.59756097560976	query_1	TRUE	0.03219858834297082	8	123	2	0.016260162601626018	0.25	18006	4716		IEA,IEA	SORBI_3001G357500,SORBI_3001G357800
CTL_individual__20pct__recurrent	GO:BP	GO:0002183	cytoplasmic translational initiation	0.035740057249674294	13.30820399113082	query_1	TRUE	0.035740057249674294	33	123	3	0.024390243902439025	0.09090909090909091	18006	711		IBA IEA,IEA,IBA	SORBI_3002G044000,SORBI_3006G044600,SORBI_3008G095500
CTL_individual__20pct__recurrent	GO:BP	GO:0006413	translational initiation	0.04274647355998456	7.704749679075738	query_1	TRUE	0.04274647355998456	76	123	4	0.032520325203252036	0.05263157894736842	18006	2063		IBA,IBA IEA,IBA IEA,IBA IEA	SORBI_3001G259000,SORBI_3002G044000,SORBI_3006G044600,SORBI_3008G095500
CTL_individual__20pct__recurrent	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	0.04600017923134944	2.785973499873407	query_1	TRUE	0.04600017923134944	578	123	11	0.08943089430894309	0.01903114186851211	18006	4024		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0019752	carboxylic acid metabolic process	0.047432963533225736	2.4909334695441196	query_1	TRUE	0.047432963533225736	764	123	13	0.10569105691056911	0.017015706806282723	18006	5632		IEA,IBA,IBA,IBA,IBA,IEA,IEA,IBA IEA,IEA,IBA,IBA IEA,IBA,IBA IEA	SORBI_3001G357300,SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G042400,SORBI_3005G152200,SORBI_3006G049200,SORBI_3006G278500,SORBI_3007G071600,SORBI_3007G112100,SORBI_3008G062200,SORBI_3008G062500,SORBI_3008G132700,SORBI_3009G111400
CTL_individual__20pct__recurrent	GO:BP	GO:0009891	positive regulation of biosynthetic process	0.0507560317888027	2.7246915108744996	query_1	TRUE	0.0507560317888027	591	123	11	0.08943089430894309	0.018612521150592216	18006	3590		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0043436	oxoacid metabolic process	0.05457884980353563	2.421212685409297	query_1	TRUE	0.05457884980353563	786	123	13	0.10569105691056911	0.01653944020356234	18006	10020		IEA,IBA,IBA,IBA,IBA,IEA,IEA,IBA IEA,IEA,IBA,IBA IEA,IBA,IBA IEA	SORBI_3001G357300,SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G042400,SORBI_3005G152200,SORBI_3006G049200,SORBI_3006G278500,SORBI_3007G071600,SORBI_3007G112100,SORBI_3008G062200,SORBI_3008G062500,SORBI_3008G132700,SORBI_3009G111400
CTL_individual__20pct__recurrent	GO:BP	GO:0006082	organic acid metabolic process	0.05457884980353563	2.421212685409297	query_1	TRUE	0.05457884980353563	786	123	13	0.10569105691056911	0.01653944020356234	18006	1846		IEA,IBA,IBA,IBA,IBA,IEA,IEA,IBA IEA,IEA,IBA,IBA IEA,IBA,IBA IEA	SORBI_3001G357300,SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G042400,SORBI_3005G152200,SORBI_3006G049200,SORBI_3006G278500,SORBI_3007G071600,SORBI_3007G112100,SORBI_3008G062200,SORBI_3008G062500,SORBI_3008G132700,SORBI_3009G111400
CTL_individual__20pct__recurrent	GO:BP	GO:0000103	sulfate assimilation	0.06507727220668198	22.52157598499062	query_1	TRUE	0.06507727220668198	13	123	2	0.016260162601626018	0.15384615384615385	18006	45		IBA IEA,IBA	SORBI_3008G062300,SORBI_3008G062400
CTL_individual__20pct__recurrent	GO:BP	GO:0032205	negative regulation of telomere maintenance	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	6912		IBA	SORBI_3002G039600
CTL_individual__20pct__recurrent	GO:BP	GO:1903607	cytochrome c biosynthetic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	21531		IBA	SORBI_3008G096300
CTL_individual__20pct__recurrent	GO:BP	GO:2000279	negative regulation of DNA biosynthetic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	23737		IBA	SORBI_3002G039600
CTL_individual__20pct__recurrent	GO:BP	GO:1904357	negative regulation of telomere maintenance via telomere lengthening	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	22045		IBA	SORBI_3002G039600
CTL_individual__20pct__recurrent	GO:BP	GO:0009438	methylglyoxal metabolic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	3330		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:0097238	cellular response to methylglyoxal	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	17332		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:1901655	cellular response to ketone	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	20212		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:1903605	cytochrome biosynthetic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	21529		IBA	SORBI_3008G096300
CTL_individual__20pct__recurrent	GO:BP	GO:1903606	cytochrome c metabolic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	21530		IBA	SORBI_3008G096300
CTL_individual__20pct__recurrent	GO:BP	GO:0009440	cyanate catabolic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	3331		IEA	SORBI_3001G222600
CTL_individual__20pct__recurrent	GO:BP	GO:0034286	response to maltose	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	7970		IEA	SORBI_3006G044600
CTL_individual__20pct__recurrent	GO:BP	GO:0051596	methylglyoxal catabolic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	12890		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:0051595	response to methylglyoxal	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	12889		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:0032211	negative regulation of telomere maintenance via telomerase	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	6918		IBA	SORBI_3002G039600
CTL_individual__20pct__recurrent	GO:BP	GO:0140041	cellular detoxification of methylglyoxal	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	18375		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:1903457	lactate catabolic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	21420		IBA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:1903604	cytochrome metabolic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	21528		IBA	SORBI_3008G096300
CTL_individual__20pct__recurrent	GO:BP	GO:0042182	ketone catabolic process	0.08183326646220378	146.39024390243904	query_1	TRUE	0.08183326646220378	1	123	1	0.008130081300813009	1	18006	9368		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:0170035	L-amino acid catabolic process	0.09852779109598855	7.199520191923231	query_1	TRUE	0.09852779109598855	61	123	3	0.024390243902439025	0.04918032786885246	18006	19044		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_individual__20pct__recurrent	GO:BP	GO:0065003	protein-containing complex assembly	0.09942834121676956	2.568249893025246	query_1	TRUE	0.09942834121676956	513	123	9	0.07317073170731707	0.017543859649122806	18006	14781		IBA,IEA,IEA,IBA,IEA,IEA,IBA,IEA,IEA	SORBI_3001G355000,SORBI_3002G044000,SORBI_3006G044600,SORBI_3006G046700,SORBI_3007G071500,SORBI_3008G062000,SORBI_3008G095500,SORBI_3008G096300,SORBI_3008G131700
