condition	LayerGroup	GeneID	Recurrence
CTL	combined	SORBI_3001G502200	2
CTL	combined	SORBI_3002G042000	2
CTL	combined	SORBI_3002G072700	2
CTL	combined	SORBI_3002G073000	2
CTL	combined	SORBI_3002G073100	2
CTL	combined	SORBI_3002G073200	2
CTL	combined	SORBI_3002G084900	2
CTL	combined	SORBI_3002G085800	2
CTL	combined	SORBI_3003G079725	2
CTL	combined	SORBI_3003G079750	2
CTL	combined	SORBI_3003G079775	2
CTL	combined	SORBI_3003G079800	2
CTL	combined	SORBI_3003G079900	2
CTL	combined	SORBI_3003G080000	2
CTL	combined	SORBI_3003G165800	2
CTL	combined	SORBI_3003G166001	2
CTL	combined	SORBI_3003G166500	2
CTL	combined	SORBI_3003G205200	2
CTL	combined	SORBI_3003G205400	2
CTL	combined	SORBI_3003G205501	2
CTL	combined	SORBI_3003G205700	2
CTL	combined	SORBI_3003G205801	2
CTL	combined	SORBI_3003G205900	2
CTL	combined	SORBI_3003G206000	2
CTL	combined	SORBI_3003G206100	2
CTL	combined	SORBI_3003G206200	2
CTL	combined	SORBI_3003G206300	2
CTL	combined	SORBI_3003G206500	2
CTL	combined	SORBI_3003G206600	2
CTL	combined	SORBI_3003G206700	2
CTL	combined	SORBI_3003G206800	2
CTL	combined	SORBI_3003G206900	2
CTL	combined	SORBI_3003G207000	2
CTL	combined	SORBI_3003G207800	2
CTL	combined	SORBI_3003G366850	2
CTL	combined	SORBI_3003G367300	2
CTL	combined	SORBI_3003G367350	2
CTL	combined	SORBI_3003G367401	2
CTL	combined	SORBI_3003G367451	2
CTL	combined	SORBI_3003G367650	2
CTL	combined	SORBI_3003G367900	2
CTL	combined	SORBI_3003G368000	2
CTL	combined	SORBI_3003G368150	2
CTL	combined	SORBI_3003G368400	2
CTL	combined	SORBI_3003G368800	2
CTL	combined	SORBI_3003G369000	2
CTL	combined	SORBI_3003G369033	2
CTL	combined	SORBI_3003G369200	2
CTL	combined	SORBI_3003G370100	2
CTL	combined	SORBI_3004G137000	2
CTL	combined	SORBI_3004G137300	2
CTL	combined	SORBI_3004G137400	2
CTL	combined	SORBI_3004G137500	2
CTL	combined	SORBI_3004G197700	2
CTL	combined	SORBI_3004G228300	2
CTL	combined	SORBI_3004G230800	2
CTL	combined	SORBI_3004G230900	2
CTL	combined	SORBI_3005G011000	2
CTL	combined	SORBI_3005G011200	2
CTL	combined	SORBI_3005G011300	2
CTL	combined	SORBI_3005G011500	2
CTL	combined	SORBI_3005G012200	2
CTL	combined	SORBI_3005G012400	2
CTL	combined	SORBI_3005G012800	2
CTL	combined	SORBI_3005G013000	2
CTL	combined	SORBI_3005G013050	2
