Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
CTL	SORBI_3001G022500;SORBI_3001G022600;SORBI_3001G126400;SORBI_3001G221850;SORBI_3001G222900;SORBI_3001G224200;SORBI_3001G356500;SORBI_3001G356600;SORBI_3001G357200;SORBI_3004G140600;SORBI_3004G206200;SORBI_3004G206500;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G139100;SORBI_3006G209700;SORBI_3007G071200;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G063300;SORBI_3008G088887;SORBI_3008G094500;SORBI_3008G131800;SORBI_3009G095560;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750	nucleic acid binding	TG	1	MF	Individual lipid species	1	31	522	25	1.8	1.8	0.016	nucleic acid binding
LIN	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	purine nucleoside transmembrane transport (+2 related terms)	DG, FA, SM, SQDG	4	BP/MF	Class sums and ratios; Individual lipid species	10	3	7	1	12.1	63.6	0.005	purine nucleobase transmembrane transport; purine nucleobase transport; purine nucleoside transmembrane transport | purine nucleobase transmembrane transporter activity; purine nucleoside transmembrane transporter activity
LIN	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600	regulation of defense response (+2 related terms)	AEG	1	BP	Individual lipid species	1	3	16	2	34.5	34.5	0.0068	regulation of defense response; regulation of jasmonic acid mediated signaling pathway; response to wounding
LIN	SORBI_3010G116800;SORBI_3010G141001;SORBI_3010G141400	DNA topological change	SQDG	1	BP	Individual lipid species	1	3	5	3	33.4	33.4	0.0058	DNA topological change
LIN	SORBI_3001G434900;SORBI_3003G394100;SORBI_3007G041500	sphingolipid metabolic process	AEG	1	BP	Individual lipid species	1	3	17	3	32.5	32.5	0.0057	sphingolipid metabolic process
LIN	SORBI_3010G124500;SORBI_3010G124600;SORBI_3010G124900	ketoreductase activity	SQDG	1	MF	Individual lipid species	1	3	5	2	32.3	32.3	0.015	ketoreductase activity
LIN	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500	nitrate assimilation and transmembrane transport	FA, SQDG	2	BP/MF	Class sums and ratios; Individual lipid species	5	3	9	1	9.4	31	0.0053	nitrate assimilation | nitrate assimilation; nitrate transmembrane transport | nitrate transmembrane transporter activity
LIN	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900	cellular response to phosphate starvation	SQDG	1	BP	Class sums and ratios	1	3	16	2	17.4	17.4	0.011	cellular response to phosphate starvation
LIN	SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400	lipid transporter activity	TG	1	MF	Individual lipid species	1	3	5	1	14.5	14.5	0.016	lipid transporter activity
LIN	SORBI_3001G031600;SORBI_3003G083200;SORBI_3004G181600;SORBI_3004G181700	regulation of salicylic acid biosynthetic process	TG	1	BP	Individual lipid species	1	4	7	3	13.8	13.8	0.0057	regulation of salicylic acid biosynthetic process
LIN	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600	steroid Delta-isomerase activity (+2 related terms)	PC	1	BP/MF	Individual lipid species	2	5	6	1	7.9	13.6	0.015	C-8 sterol isomerase activity; cholestenol delta-isomerase activity; steroid Delta-isomerase activity | sterol metabolic process
