"Condition","Class","n_accessions","full_panel_pctTIC","resample_lo95","resample_hi95","resample_halfwidth","loo_race_min","loo_race_max","loo_race_maxshift"
"CTL","PC",394,23.9577096595715,23.7729230099257,24.1371216846269,0.182099337350602,23.9418704350387,24.0547086162489,0.0969989566773357
"CTL","PA",394,0.0166040852280924,0.0160463767111229,0.0170796038871456,0.000516613588011347,0.0165269494654991,0.0174666974325524,0.000862612204459965
"CTL","PE",394,5.48252675475289,5.45171409819687,5.51386507906404,0.0310754904335844,5.47477561182821,5.53151228281789,0.0489855280649998
"CTL","LPC",394,0.157666148549021,0.155249962986092,0.159909852250561,0.00232994463223428,0.155489483229467,0.1585504314808,0.0021766653195541
"CTL","LPE",394,0.00959416383719608,0.00945576656494398,0.00973812322214909,0.000141178328602553,0.00955119560364089,0.00974864124369882,0.000154477406502741
"CTL","PG",394,0.376367098513108,0.373846336702698,0.378861554687037,0.00250760899216931,0.375842673461653,0.378162235132504,0.00179513661939573
"CTL","PS",394,0.0140050174934287,0.01362537847124,0.0143208522988934,0.000347736913826725,0.0138966461888097,0.0142016640156237,0.000196646522195001
"CTL","DG",394,12.9403742494216,12.8923092240061,12.9855303739083,0.0466105749511261,12.9202535568293,12.9411394666603,0.0201206925923216
"CTL","DGDG",394,11.9510644401389,11.9166617321075,11.9838312105166,0.0335847392045228,11.9403053850294,11.960836407884,0.0107590551094408
"CTL","MG",394,1.28764989284338,1.28229922760803,1.2924952593147,0.00509801585333691,1.28387092544712,1.29038499816911,0.00377896739625916
"CTL","MGDG",394,32.3243620394694,32.2054526810325,32.4569039050999,0.125725612033715,32.2590039279149,32.346535754869,0.0653581115545165
"CTL","SQDG",394,2.72118808684048,2.70400408722963,2.74006826132651,0.0180320870484392,2.71752108856118,2.72431799724124,0.00366699827930494
"CTL","TG",394,2.56222237257876,2.52095228542797,2.59961966635428,0.039333690463156,2.52240628055832,2.58538115876143,0.0398160920204478
"LIN","PC",363,23.0681176074986,22.8771648549439,23.2856762150025,0.204255680029311,22.8940672071642,23.1945694294596,0.17405040033448
"LIN","PA",363,0.0253613893568237,0.0245339716399939,0.0261062193884118,0.000786123874208946,0.0251018376221031,0.0255366664066066,0.000259551734720569
"LIN","PE",363,6.15451178632012,6.10679973592963,6.19494455651961,0.0440724102949903,6.14587435465257,6.18883588294094,0.0343240966208267
"LIN","LPC",363,0.153060335533574,0.150959266265066,0.154867926814676,0.00195433027480503,0.152528817058196,0.153305233932475,0.000531518475378273
"LIN","LPE",363,0.0137928159515847,0.0135898528870677,0.013968607171543,0.000189377142237678,0.0137618768708413,0.0138115999236973,3.0939080743345e-05
"LIN","PG",363,0.440914251795045,0.439423552586406,0.442370768716196,0.00147360806489466,0.440149068181464,0.442790254843304,0.00187600304825847
"LIN","PS",363,0.0445293523498758,0.0436730354967746,0.0453387242321373,0.000832844367681343,0.0440301191390056,0.0448412733376711,0.000499233210870247
"LIN","DG",363,13.7618376720396,13.7049360751409,13.8142374347706,0.0546506798148476,13.7345051127274,13.810401347244,0.0485636752043792
"LIN","DGDG",363,12.0931879496054,12.0538641689466,12.1328935656656,0.0395146983594774,12.0840398166681,12.1398730584712,0.0466851088657858
"LIN","MG",363,1.04143962313958,1.037162818276,1.04543250554845,0.0041348436362274,1.03873052998609,1.04504881212395,0.00360918898436924
"LIN","MGDG",363,29.7862994090298,29.6860779731572,29.9012027366491,0.107562381745943,29.6748270431959,29.8978079973681,0.111508588338292
"LIN","SQDG",363,1.26423142338123,1.25652197560648,1.27301779074866,0.00824790757109017,1.26260009434648,1.27164201179527,0.00741058841404074
"LIN","TG",363,5.01118382600571,4.93196173837373,5.07448230904112,0.071260285333695,4.97083404589461,5.02286895283283,0.0403497801111072
