Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Individual lipid species	LIN	MGDG	regulation of DNA-templated transcription	GO:0006355	7	1464	6	1.64	0.297	0.0297	SORBI_3010G110100;SORBI_3010G111800;SORBI_3010G116200;SORBI_3010G123500;SORBI_3010G148800;SORBI_3010G151325;SORBI_3010G152700
BP	Individual lipid species	LIN	PC	transmembrane transport	GO:0055085	47	865	39	1.35	0.113	0.00121	SORBI_3001G000400;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G128300;SORBI_3001G169100;SORBI_3001G233400;SORBI_3001G256900;SORBI_3001G454100;SORBI_3001G457200;SORBI_3002G116100;SORBI_3002G156000;SORBI_3002G156400;SORBI_3002G306300;SORBI_3003G201500;SORBI_3003G371400;SORBI_3003G371600;SORBI_3003G372100;SORBI_3004G019800;SORBI_3004G075800;SORBI_3004G102800;SORBI_3004G311000;SORBI_3004G349550;SORBI_3005G088500;SORBI_3005G225800;SORBI_3006G219300;SORBI_3006G244000;SORBI_3007G039500;SORBI_3007G039600;SORBI_3007G181100;SORBI_3008G104500;SORBI_3008G105500;SORBI_3008G106100;SORBI_3008G111100;SORBI_3008G111300;SORBI_3009G042700;SORBI_3009G057700;SORBI_3009G073100;SORBI_3009G084400;SORBI_3009G085900;SORBI_3009G106800;SORBI_3009G136100;SORBI_3009G136600;SORBI_3009G147500;SORBI_3009G152800;SORBI_3009G249500;SORBI_3010G159400
BP	Individual lipid species	LIN	PC	nucleotide transmembrane transport	GO:1901679	3	3	2	24.88	0.0047	0.00726	SORBI_3001G100800;SORBI_3001G101100;SORBI_3009G249500
BP	Individual lipid species	LIN	PC	endocytic recycling	GO:0032456	3	5	3	14.93	0.017	0.00726	SORBI_3001G097900;SORBI_3001G212500;SORBI_3002G376300
BP	Individual lipid species	LIN	PC	response to wounding	GO:0009611	11	61	7	4.49	0.00332	0.0101	SORBI_3001G125800;SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600;SORBI_3003G385500;SORBI_3004G021600;SORBI_3009G009900;SORBI_3009G010000;SORBI_3009G010150;SORBI_3009G107600;SORBI_3010G132200
BP	Individual lipid species	LIN	PC	signal transduction	GO:0007165	13	167	8	1.94	0.113	0.0171	SORBI_3001G002000;SORBI_3002G113600;SORBI_3003G045000;SORBI_3003G383100;SORBI_3003G407300;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100;SORBI_3004G045500;SORBI_3004G045700;SORBI_3007G091400;SORBI_3009G173100
BP	Individual lipid species	LIN	PC	plasma membrane phospholipid scrambling	GO:0017121	2	3	2	16.59	0.0598	0.0246	SORBI_3001G192000;SORBI_3001G436900
BP	Individual lipid species	LIN	PC	lagging strand elongation	GO:0006273	2	3	2	16.59	0.0598	0.0297	SORBI_3001G211500;SORBI_3003G369200
BP	Individual lipid species	LIN	PC	DNA-templated transcription	GO:0006351	9	114	8	1.96	0.151	0.0297	SORBI_3001G039700;SORBI_3003G145400;SORBI_3003G328700;SORBI_3004G043750;SORBI_3004G078800;SORBI_3004G102500;SORBI_3004G102700;SORBI_3004G253300;SORBI_3006G017600
BP	Individual lipid species	LIN	PC	metaphase/anaphase transition of mitotic cell cycle	GO:0007091	2	3	2	16.59	0.0598	0.0301	SORBI_3003G388000;SORBI_3009G104900
