"Phenotype","PhenotypeClean","N_SNPs","Min_P","Lambda","N_GenomeWide","N_Suggestive"
"Sum_AEG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta10_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta10_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,1.775273e-21,0.84794966675919,656,5040
"Sum_PC_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta4_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta4_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,1.963726e-21,0.844855889011623,614,4846
"Sum_PC_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta4_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta4_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,2.284815e-21,0.862349345201843,577,4439
"Sum_PC_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta9_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta9_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,2.338588e-21,0.858427818968284,563,4437
"Sum_PC_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta1_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta1_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,2.691043e-21,0.835328726334284,614,5163
"Sum_AEG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta3_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta3_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,6.122359e-21,0.894485866236226,488,3977
"Sum_AEG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta4_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta4_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,7.256117e-21,0.883176093876279,538,4448
"Sum_PC_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta5_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta5_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,7.275348e-21,0.852150826316391,522,4376
"Sum_PC_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta7_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta7_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,1.427675e-20,0.88400786983737,436,3435
"Sum_AEG_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta7_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta7_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,1.718357e-20,0.874978589153351,520,4080
