condition	lipid_class	go_term	go_id	term_test_count	n_ld_blocks_in_set	blocks_carrying_term	fold_enrichment	expected	null_mean	p_value	p_adj_bh	p_perm	q_perm_bh	overlap_genes	n_permutations
LIN	PC	cholestenol delta-isomerase activity	GO:0047750	5	217	1	13.560736902705814	0.36871152621524095	0.37	4.910542522273915e-06	0.0005327938636667198	0.012373	0.016404	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600	8000
LIN	FA	purine nucleobase transmembrane transporter activity	GO:0005345	3	97	1	11.252388535031848	0.2666100615580556	0.25	0.0018123965390350234	0.027199122810660684	0.012373	0.016404	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
CTL	PA	peroxidase activity	GO:0004601	3	7	2	14.714211348256116	0.20388452557843345	0.22	0.0010104752868904253	0.020616893200456166	0.012748	0.016404	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500	8000
CTL	TG	nucleic acid binding	GO:0003676	31	152	25	1.7991770459893313	17.230099766503926	20.39	0.0010468416626863548	0.020616893200456166	0.013123	0.016404	SORBI_3001G022500;SORBI_3001G022600;SORBI_3001G126400;SORBI_3001G221850;SORBI_3001G222900;SORBI_3001G224200;SORBI_3001G356500;SORBI_3001G356600;SORBI_3001G357200;SORBI_3004G140600;SORBI_3004G206200;SORBI_3004G206500;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G139100;SORBI_3006G209700;SORBI_3007G071200;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G063300;SORBI_3008G088887;SORBI_3008G094500;SORBI_3008G131800;SORBI_3009G095560;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750	8000
LIN	FA	nitrate transmembrane transporter activity	GO:0015112	3	97	1	10.00212314225053	0.29993631925281256	0.34	0.002651820437235296	0.0366625206563046	0.015248	0.018403	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500	8000
LIN	SQDG	mRNA binding	GO:0003729	18	88	18	2.243333333333333	8.023774145616642	10.62	0.0010926003308997507	0.020616893200456166	0.016873	0.019685	SORBI_3003G033100;SORBI_3010G113150;SORBI_3010G116600;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G138200;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G143500;SORBI_3010G144050;SORBI_3010G145800;SORBI_3010G150575;SORBI_3010G152250;SORBI_3010G161050	8000
LIN	SQDG	translation regulator activity	GO:0045182	12	88	12	5.1276190476190475	2.3402674591381873	6.55	3.5805740251522925e-06	0.0005327938636667198	0.026872	0.030339	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050	8000
LIN	SQDG	poly(A)-specific ribonuclease activity	GO:0004535	3	88	1	13.459999999999999	0.22288261515601784	0.25	0.0012247503488673301	0.02126166605633685	0.028496	0.031168	SORBI_3010G147250;SORBI_3010G147300;SORBI_3010G147350	8000
LIN	SQDG	single-stranded RNA binding	GO:0003727	12	88	12	4.821492537313433	2.488855869242199	6.66	6.812216470264092e-06	0.0005913003896189232	0.030871	0.032742	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050	8000
CTL	TG	translation regulator activity	GO:0045182	14	152	13	3.3662022150768127	4.158989598811293	8.91	6.685812463597727e-05	0.0036270532615017667	0.053368	0.054938	SORBI_3001G221850;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G088887;SORBI_3008G094500;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750	8000
CTL	TG	single-stranded RNA binding	GO:0003727	14	152	13	3.1652349186543165	4.423052430481851	9.14	0.00013077568560641644	0.0063062941725760815	0.065492	0.065492	SORBI_3001G221850;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G088887;SORBI_3008G094500;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750	8000
