condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
LIN	FA	vesicle-mediated transport	GO:0016192	112	3	3.9168241965973536	0.7659266409266409	0.7565805917795094	0.8363762010687545	SORBI_3002G128700;SORBI_3004G004300;SORBI_3004G028000
LIN	TG	response to stress	GO:0006950	124	4	5.142249527410208	0.7778696810954876	0.7624462017193849	0.8395808369127857	SORBI_3001G115400;SORBI_3005G175500;SORBI_3008G076200;SORBI_3009G113700
LIN	TG	RNA splicing	GO:0008380	97	3	4.022566162570889	0.7457925808441273	0.7730357916828314	0.8479423606443461	SORBI_3003G201900;SORBI_3004G115350;SORBI_3005G191200
CTL	TG	response to stress	GO:0006950	124	3	4.204631379962192	0.7134989322243454	0.7974930397042821	0.8671341236804244	SORBI_3001G222700;SORBI_3006G277700;SORBI_3008G089700
LIN	FA	lipid metabolic process	GO:0006629	256	7	8.952741020793951	0.7818834459459459	0.7978963624429908	0.8671341236804244	SORBI_3001G213300;SORBI_3001G269200;SORBI_3003G389400;SORBI_3004G007500;SORBI_3004G310000;SORBI_3004G341900;SORBI_3007G158600
LIN	PC	positive regulation of transcription by RNA polymerase II	GO:0045944	66	3	4.195179584120983	0.7151064548834065	0.799724403818342	0.8671341236804244	SORBI_3002G026500;SORBI_3003G406800;SORBI_3010G221500
LIN	FA	response to stress	GO:0006950	124	3	4.33648393194707	0.6918047079337402	0.8143613817700113	0.8796346222935618	SORBI_3004G342000;SORBI_3005G175500;SORBI_3006G191600
LIN	PC	lipid catabolic process	GO:0016042	70	3	4.449432892249527	0.674243228890069	0.831006416378818	0.8942008206661806	SORBI_3001G228100;SORBI_3003G389400;SORBI_3003G391000
LIN	PC	translation	GO:0006412	241	12	15.318761814744802	0.78335312900091	0.8477646491808057	0.9079370850440791	SORBI_3001G039400;SORBI_3001G168900;SORBI_3001G226500;SORBI_3001G259000;SORBI_3002G027800;SORBI_3004G020000;SORBI_3004G103700;SORBI_3007G039400;SORBI_3008G098800;SORBI_3008G100000;SORBI_3008G101600;SORBI_3008G106000
LIN	PC	protein ubiquitination	GO:0016567	313	16	19.895321361058603	0.8042091760989108	0.8512807082961616	0.9079370850440791	SORBI_3001G039600;SORBI_3001G168800;SORBI_3001G211700;SORBI_3002G027901;SORBI_3002G254000;SORBI_3003G388000;SORBI_3004G187800;SORBI_3004G253100;SORBI_3005G099100;SORBI_3006G120000;SORBI_3007G037800;SORBI_3008G148400;SORBI_3009G173300;SORBI_3010G222000;SORBI_3010G222200;SORBI_3010G222400
LIN	FA	translation	GO:0006412	241	6	8.428166351606805	0.7118986206123136	0.8533966947764136	0.9079370850440791	SORBI_3001G031800;SORBI_3001G034200;SORBI_3001G039400;SORBI_3001G168900;SORBI_3001G493001;SORBI_3004G020000
LIN	TG	RNA modification	GO:0009451	117	3	4.851961247637051	0.6183066695887209	0.869598596017501	0.9172549404426578	SORBI_3002G111700;SORBI_3008G149200;SORBI_3009G042500
LIN	TG	mRNA processing	GO:0006397	149	4	6.178993383742911	0.6473546339318151	0.8717552554692498	0.9172549404426578	SORBI_3003G201900;SORBI_3004G115350;SORBI_3004G183100;SORBI_3005G191200
LIN	TG	response to oxidative stress	GO:0006979	118	3	4.8934310018903595	0.6130667825583079	0.8733058268112198	0.9172549404426578	SORBI_3001G136800;SORBI_3006G243600;SORBI_3009G113700
LIN	PC	response to oxidative stress	GO:0006979	118	5	7.500472589792061	0.6666246613319892	0.8779691582462579	0.9172549404426578	SORBI_3001G528100;SORBI_3004G011566;SORBI_3004G125800;SORBI_3006G163401;SORBI_3006G243600
LIN	TG	translation	GO:0006412	241	7	9.994210775047259	0.7004054804884681	0.878360738021061	0.9172549404426578	SORBI_3001G031800;SORBI_3001G034200;SORBI_3002G373800;SORBI_3003G113400;SORBI_3008G082500;SORBI_3008G098800;SORBI_3009G077200
LIN	PC	photosynthesis	GO:0015979	81	3	5.1486294896030245	0.5826793336087016	0.8962450037024025	0.9322047243776961	SORBI_3002G026300;SORBI_3002G159100;SORBI_3009G238100
CTL	TG	defense response	GO:0006952	269	6	9.12133742911153	0.6577982720878722	0.899264628109933	0.9322047243776961	SORBI_3001G223550;SORBI_3002G091700;SORBI_3002G105300;SORBI_3003G361100;SORBI_3009G049800;SORBI_3009G220800
LIN	PC	regulation of DNA-templated transcription	GO:0006355	887	48	56.38067107750473	0.851355599049467	0.9039433978881322	0.9336349693516109	SORBI_3001G127800;SORBI_3001G166700;SORBI_3001G286700;SORBI_3001G290400;SORBI_3001G528200;SORBI_3001G531100;SORBI_3002G114200;SORBI_3002G117400;SORBI_3002G121600;SORBI_3002G253000;SORBI_3003G044900;SORBI_3003G105800;SORBI_3003G373000;SORBI_3003G385100;SORBI_3003G412600;SORBI_3004G078800;SORBI_3004G080300;SORBI_3004G102500;SORBI_3004G181600;SORBI_3004G181700;SORBI_3004G184200;SORBI_3004G253300;SORBI_3006G118100;SORBI_3006G118150;SORBI_3006G118200;SORBI_3006G119400;SORBI_3006G120301;SORBI_3006G120400;SORBI_3007G139000;SORBI_3007G180300;SORBI_3007G181500;SORBI_3007G183050;SORBI_3007G217700;SORBI_3008G071200;SORBI_3008G100100;SORBI_3008G107500;SORBI_3009G011300;SORBI_3009G083800;SORBI_3009G085100;SORBI_3009G086800;SORBI_3009G111200;SORBI_3009G153400;SORBI_3009G184300;SORBI_3009G238200;SORBI_3009G250000;SORBI_3010G215100;SORBI_3010G221500;SORBI_3010G224200
LIN	PC	cell wall organization	GO:0071555	146	6	9.280245746691872	0.6465346030452717	0.909581229744773	0.9360417746100754	SORBI_3001G252700;SORBI_3001G311000;SORBI_3001G338400;SORBI_3001G384200;SORBI_3007G180450;SORBI_3009G111000
LIN	TG	cellular oxidant detoxification	GO:0098869	131	3	5.4325378071833645	0.552228094212827	0.9136567361148094	0.9368291895669966	SORBI_3001G119400;SORBI_3006G243600;SORBI_3009G113700
CTL	TG	signal transduction	GO:0007165	205	4	6.951205103969754	0.575439789241098	0.9217795786614639	0.9411100273295722	SORBI_3001G023000;SORBI_3002G203000;SORBI_3005G183200;SORBI_3008G005400
LIN	SQDG	protein ubiquitination	GO:0016567	313	3	5.620982986767486	0.5337144778880107	0.9244826416877069	0.9411100273295722	SORBI_3010G116300;SORBI_3010G131900;SORBI_3010G140500
LIN	PC	lipid metabolic process	GO:0006629	256	11	16.272211720226842	0.6759990706319703	0.9403785978048257	0.9538607282393035	SORBI_3001G125800;SORBI_3001G472800;SORBI_3003G107600;SORBI_3003G109766;SORBI_3003G389400;SORBI_3003G391000;SORBI_3003G412700;SORBI_3004G197600;SORBI_3004G310000;SORBI_3005G087900;SORBI_3006G119700
LIN	PC	hydrogen peroxide catabolic process	GO:0042744	104	3	6.610586011342155	0.4538175579067772	0.9653964181809117	0.9757399512328501	SORBI_3001G528100;SORBI_3004G011566;SORBI_3006G243600
LIN	PC	cellular oxidant detoxification	GO:0098869	131	4	8.32679584120983	0.48037685518885326	0.9708611902794916	0.9777712343384204	SORBI_3001G528100;SORBI_3004G011566;SORBI_3006G243600;SORBI_3007G148300
LIN	PC	protein transport	GO:0015031	223	8	14.174621928166351	0.5643889509393702	0.9762463897625853	0.979708256392949	SORBI_3001G212500;SORBI_3001G467000;SORBI_3001G528000;SORBI_3002G114900;SORBI_3002G380300;SORBI_3004G048000;SORBI_3004G184000;SORBI_3008G103300
CTL	TG	carbohydrate metabolic process	GO:0005975	251	3	8.510987712665406	0.3524855282701945	0.9922362055206414	0.9922362055206413	SORBI_3003G165800;SORBI_3007G103000;SORBI_3007G112400
