condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
LIN	DG	RNA binding	GO:0003723	615	8	4.308002547229887	1.857009115545701	0.06427210730772127	0.2658381013481238	SORBI_3006G183800;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G192000;SORBI_3006G195500;SORBI_3010G150575;SORBI_3010G150700
CTL	DGDG	metal ion binding	GO:0046872	1938	8	4.525153895139036	1.767895675016418	0.06452381100682616	0.2658381013481238	SORBI_3002G221400;SORBI_3002G374200;SORBI_3003G105900;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
LIN	DG	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	221	4	1.5480789641265125	2.5838475250239954	0.06887246596798885	0.27609193383689584	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500;SORBI_3006G183900
CTL	PS	RNA binding	GO:0003723	615	3	0.9790914880067926	3.0640650406504064	0.0699750143023624	0.27609193383689584	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
CTL	SM	RNA binding	GO:0003723	615	3	0.9790914880067926	3.0640650406504064	0.0699750143023624	0.27609193383689584	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
LIN	FA	protein serine/threonine phosphatase activity	GO:0004722	65	5	2.214497983443006	2.257848070932183	0.06999902283160493	0.27609193383689584	SORBI_3001G025700;SORBI_3001G034100;SORBI_3001G512600;SORBI_3004G096300;SORBI_3006G192200
LIN	SM	iron ion binding	GO:0005506	264	5	2.2135427722351944	2.2588224012274645	0.0703632355652283	0.27609193383689584	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008900;SORBI_3006G183900
LIN	SM	RNA binding	GO:0003723	615	9	5.156548503502441	1.7453535041679529	0.07110825083807011	0.27638301269136684	SORBI_3006G183800;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G192000;SORBI_3006G195500;SORBI_3009G016400;SORBI_3010G150575;SORBI_3010G150700
LIN	PA	oxidoreductase activity	GO:0016491	863	5	2.2898535342814688	2.183545770567787	0.07264016838299267	0.2790436269215161	SORBI_3001G012000;SORBI_3002G226900;SORBI_3002G227000;SORBI_3004G006400;SORBI_3004G008900
LIN	AEG	metal ion binding	GO:0046872	1938	11	6.993419656123965	1.5729071814484308	0.07314735851340712	0.2790436269215161	SORBI_3001G012000;SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3005G105700;SORBI_3010G151200;SORBI_3010G151325
LIN	GalCer	metal ion binding	GO:0046872	1938	13	8.63893016344725	1.5048159614723082	0.07443643964571772	0.2792787799418644	SORBI_3001G012000;SORBI_3002G227200;SORBI_3002G227500;SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3004G005000;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3010G151200;SORBI_3010G151325
LIN	GalCer	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	221	3	0.9851411589895989	3.0452488687782804	0.0749701079246254	0.2792787799418644	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500
CTL	DG	metal ion binding	GO:0046872	1938	7	3.908087454892804	1.7911574602140026	0.07659830614910358	0.2792787799418644	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
CTL	MGDG	metal ion binding	GO:0046872	1938	7	3.908087454892804	1.7911574602140026	0.07659830614910358	0.2792787799418644	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
CTL	SQDG	metal ion binding	GO:0046872	1938	7	3.908087454892804	1.7911574602140026	0.07659830614910358	0.2792787799418644	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
CTL	DGDG	mRNA binding	GO:0003729	432	3	1.0087030354489492	2.9741161616161618	0.0772884914175685	0.2793233198599844	SORBI_3002G371500;SORBI_3010G136450;SORBI_3010G150575
LIN	PC	iron ion binding	GO:0005506	264	3	1.0087030354489492	2.9741161616161618	0.07890721020881473	0.2815054342474799	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008900
LIN	MG	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	221	3	1.0085969008703035	2.974429127643902	0.07925881158424192	0.2815054342474799	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500
CTL	Cer	RNA binding	GO:0003723	615	3	1.0443642538739122	2.872560975609756	0.08210481596803931	0.2836801971762538	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
CTL	FA	RNA binding	GO:0003723	615	3	1.0443642538739122	2.872560975609756	0.08210481596803931	0.2836801971762538	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
LIN	DG	monooxygenase activity	GO:0004497	236	4	1.6531521969857779	2.4196199280945043	0.08314130726567893	0.2836801971762538	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500;SORBI_3006G183900
LIN	MGDG	iron ion binding	GO:0005506	264	3	1.0367225642114202	2.8937346437346436	0.08417017149261685	0.2836801971762538	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008900
CTL	DG	nucleic acid binding	GO:0003676	522	3	1.0526427510082785	2.849969751966122	0.08469093265213402	0.2836801971762538	SORBI_3002G371500;SORBI_3002G374200;SORBI_3010G136450
CTL	MGDG	nucleic acid binding	GO:0003676	522	3	1.0526427510082785	2.849969751966122	0.08469093265213402	0.2836801971762538	SORBI_3002G371500;SORBI_3002G374200;SORBI_3010G136450
CTL	SQDG	nucleic acid binding	GO:0003676	522	3	1.0526427510082785	2.849969751966122	0.08469093265213402	0.2836801971762538	SORBI_3002G371500;SORBI_3002G374200;SORBI_3010G136450
LIN	AEG	oxidoreductase activity	GO:0016491	863	6	3.1142008066227977	1.9266580328539296	0.08553945187627911	0.2842117272018306	SORBI_3001G012000;SORBI_3003G088200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3004G006400;SORBI_3004G008900
LIN	GalCer	monooxygenase activity	GO:0004497	236	3	1.0520059435364042	2.851694915254237	0.08734532853964756	0.28487126404393176	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500
LIN	MG	metal ion binding	GO:0046872	1938	13	8.844618976862662	1.4698202414380683	0.08743910486954991	0.28487126404393176	SORBI_3001G012000;SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3003G406600;SORBI_3004G005000;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3005G105700;SORBI_3010G151200;SORBI_3010G151325
LIN	DGDG	metal ion binding	GO:0046872	1938	12	8.021863723201019	1.4959117250138922	0.08781225857664887	0.28487126404393176	SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3003G406600;SORBI_3004G005000;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3005G105700;SORBI_3010G151200;SORBI_3010G151325
CTL	Cer	metal ion binding	GO:0046872	1938	6	3.2910210146465717	1.8231424148606812	0.09123435660905876	0.291384146689397	SORBI_3002G221400;SORBI_3002G374200;SORBI_3003G367650;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
CTL	FA	metal ion binding	GO:0046872	1938	6	3.2910210146465717	1.8231424148606812	0.09123435660905876	0.291384146689397	SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
LIN	MG	monooxygenase activity	GO:0004497	236	3	1.0770537040967947	2.785376428852976	0.09224152477460262	0.2921124365822879	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500
LIN	FA	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616	92	6	3.134366376565485	1.9142624949207638	0.093487714340795	0.2921124365822879	SORBI_3001G037800;SORBI_3001G171300;SORBI_3002G264300;SORBI_3003G088200;SORBI_3004G004400;SORBI_3010G214100
LIN	FA	transaminase activity	GO:0008483	32	3	1.0902143918488643	2.7517523364485985	0.0941026470637558	0.2921124365822879	SORBI_3001G401700;SORBI_3002G211300;SORBI_3006G220800
LIN	DGDG	iron ion binding	GO:0005506	264	3	1.0927616217363616	2.7453379953379957	0.09512981778779078	0.2921124365822879	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008900
CTL	GalCer	nucleic acid binding	GO:0003676	522	3	1.1080450010613458	2.707471264367816	0.09571645373448755	0.2921124365822879	SORBI_3002G371500;SORBI_3002G374200;SORBI_3010G136450
CTL	MG	nucleic acid binding	GO:0003676	522	3	1.1080450010613458	2.707471264367816	0.09571645373448755	0.2921124365822879	SORBI_3002G371500;SORBI_3002G374200;SORBI_3010G136450
CTL	GalCer	metal ion binding	GO:0046872	1938	7	4.113776268308214	1.7015995872033025	0.09775067931739326	0.2939655465603359	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
CTL	MG	metal ion binding	GO:0046872	1938	7	4.113776268308214	1.7015995872033025	0.09775067931739326	0.2939655465603359	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
LIN	SM	transmembrane transporter activity	GO:0022857	296	5	2.4818509870515815	2.0146253848785496	0.10232835815843883	0.3054761934358178	SORBI_3001G012600;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	PG	metal ion binding	GO:0046872	1938	9	5.759286775631501	1.5626934984520124	0.10336034718718634	0.3054761934358178	SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3010G151200;SORBI_3010G151325
LIN	Cer	metal ion binding	GO:0046872	1938	11	7.404797282954787	1.48552344914574	0.10381540862045086	0.3054761934358178	SORBI_3001G012000;SORBI_3001G034100;SORBI_3001G034300;SORBI_3001G036300;SORBI_3001G037000;SORBI_3001G039300;SORBI_3001G039700;SORBI_3008G078800;SORBI_3008G079200;SORBI_3010G151200;SORBI_3010G151325
CTL	PE	mRNA binding	GO:0003729	432	3	1.146253449373806	2.6172222222222223	0.10454403707390851	0.3054761934358178	SORBI_3001G171600;SORBI_3010G136450;SORBI_3010G150575
LIN	FA	aspartic-type endopeptidase activity	GO:0004190	53	4	1.8056675864996816	2.2152471639334625	0.1056883899678378	0.30649756086829993	SORBI_3001G171500;SORBI_3003G419300;SORBI_3003G419400;SORBI_3003G419500
LIN	Cer	oxidoreductase activity	GO:0016491	863	6	3.297389089365315	1.8196214754731557	0.10638143496157013	0.30649756086829993	SORBI_3001G012000;SORBI_3001G033100;SORBI_3001G037800;SORBI_3004G076000;SORBI_3008G078800;SORBI_3008G078900
LIN	PG	oxidoreductase activity	GO:0016491	863	5	2.5646359583952454	1.9495944380069523	0.10750404729517911	0.30758102420565137	SORBI_3003G088200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3004G006400;SORBI_3004G008900
CTL	PA	heme binding	GO:0020037	335	3	1.1733177669284653	2.5568521031207596	0.11121323938621283	0.31496077580168363	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
LIN	SQDG	nucleic acid binding	GO:0003676	522	9	5.651029505412864	1.59263015551048	0.11161231375496555	0.31496077580168363	SORBI_3001G028100;SORBI_3001G028200;SORBI_3003G087200;SORBI_3004G009000;SORBI_3004G010050;SORBI_3005G119950;SORBI_3005G120301;SORBI_3006G183800;SORBI_3006G192000
LIN	SM	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	221	4	1.853003608575674	2.158657425969414	0.11427300579324608	0.3150375737823311	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500;SORBI_3006G183900
CTL	PC	mRNA binding	GO:0003729	432	3	1.1921035873487582	2.5165598290598292	0.11436297971218756	0.3150375737823311	SORBI_3001G171600;SORBI_3010G136450;SORBI_3010G150575
