,LIN_TG,LIN_PC,LIN_DG,LIN_SQDG,LIN_AEG,LIN_Terpenoid
CTL_TG,0.02152414194299011,0.017657992565055763,0.004464285714285714,0.03442622950819672,0.00510204081632653,0.0011061946902654867
CTL_PC,0.005302226935312832,0.005822416302765648,0.0,0.013392857142857142,0.0,0.010416666666666666
CTL_DG,0.0,0.0,0.0,0.0,0.0,0.0
CTL_SQDG,0.0,0.0,0.0,0.0,0.0,0.0
CTL_AEG,0.006734006734006734,0.0007518796992481203,0.0,0.0,0.0,0.0
CTL_Terpenoid,0.003246753246753247,0.0014716703458425313,0.0,0.0,0.0,0.0
