GeneID	GeneName	conditions	layers	best_p	max_r2	max_nphen
SORBI_3007G090418	Uncharacterized protein	CTL	individual	1.861479e-10	0.956096	9
SORBI_3007G090421	MADS-box domain-containing protein	CTL	individual	1.861479e-10	0.974311	9
SORBI_3007G090424	Dienelactone hydrolase domain-containing protein	CTL	individual	1.861479e-10	0.974311	9
SORBI_3006G248100	Fungal lipase-like domain-containing protein	CTL	individual	6.016559e-13	0.431584	8
SORBI_3008G061201	Uncharacterized protein	CTL	individual	7.506041e-13	0.428719	8
SORBI_3008G061300	Uncharacterized protein	CTL	individual	7.506041e-13	0.417645	8
SORBI_3008G061701	Uncharacterized protein	CTL	individual	7.506041e-13	0.560741	8
SORBI_3008G061801	Uncharacterized protein	CTL	individual	7.506041e-13	0.563767	8
SORBI_3008G061900	Uncharacterized protein	CTL	individual	7.506041e-13	0.458267	8
SORBI_3008G062000		CTL	individual	7.506041e-13	0.593476	8
SORBI_3008G062200		CTL	individual	7.506041e-13	0.548135	8
SORBI_3008G062300		CTL	individual	7.506041e-13	0.600923	8
SORBI_3008G062400	3'(2'),5'-bisphosphate nucleotidase	CTL	individual	7.506041e-13	0.770552	8
SORBI_3008G062500	Glycine cleavage system H protein	CTL	individual	7.506041e-13	0.703922	8
SORBI_3008G062800	Uncharacterized protein	CTL	individual	7.506041e-13	0.560294	8
SORBI_3008G090200	Uncharacterized protein	CTL	individual	9.794962e-12	0.942654	8
SORBI_3007G110400	Uncharacterized protein	CTL	individual	1.182775e-11	0.957095	8
SORBI_3007G110500	Uncharacterized protein	CTL	individual	1.182775e-11	0.901808	8
SORBI_3007G110700	Protein kinase domain-containing protein	CTL	individual	1.182775e-11	0.957095	8
SORBI_3006G040201	CCHC-type domain-containing protein	CTL	individual	1.570776e-11	0.931069	8
SORBI_3007G099133	Uncharacterized protein	CTL	individual	3.699201e-11	0.971854	8
SORBI_3002G147500		CTL	individual	4.740905e-11	0.942032	8
SORBI_3004G137900	Actin associated protein	CTL	individual	5.337257e-11	0.980608	8
SORBI_3009G095480		CTL	individual	6.895748e-11	0.751741	8
SORBI_3009G095560	CCHC-type domain-containing protein	CTL	individual	6.895748e-11	0.961213	8
SORBI_3001G222000	Anaphase-promoting complex subunit 4-like WD40 domain-containing protein	CTL	individual	7.079967e-11	0.580783	8
SORBI_3001G222200	PPPDE domain-containing protein	CTL	individual	7.079967e-11	0.452926	8
SORBI_3006G277700	Peroxidase	CTL	individual	1.240061e-10	0.642698	8
SORBI_3006G279100	Protein kinase domain-containing protein	CTL	individual	1.240061e-10	0.834639	8
SORBI_3006G279400	NAC domain-containing protein	CTL	individual	1.240061e-10	1.0	8
SORBI_3006G280250		CTL	individual	1.240061e-10	0.703642	8
SORBI_3006G046700	Vacuolar protein sorting-associated protein 11 homolog	CTL	individual	1.619755e-10	0.493319	8
SORBI_3006G046900	Uncharacterized protein	CTL	individual	1.619755e-10	0.445494	8
SORBI_3006G047100	Exocyst subunit Exo70 family protein	CTL	individual	1.619755e-10	0.638122	8
SORBI_3006G047200	BHLH domain-containing protein	CTL	individual	1.619755e-10	0.930248	8
SORBI_3006G047300	EngC GTPase domain-containing protein	CTL	individual	1.619755e-10	0.910795	8
SORBI_3006G047400	60S ribosomal protein L37a	CTL	individual	1.619755e-10	0.459052	8
SORBI_3006G080300	Histone-lysine N-methyltransferase ASHH1	CTL	individual	5.686564e-10	1.0	8
SORBI_3007G141420	Uncharacterized protein	CTL	individual	9.086049e-13	1.0	7
SORBI_3008G096000	Auxin response factor	CTL	individual	1.890035e-11	0.895124	7
SORBI_3007G103350	CCHC-type domain-containing protein	CTL	individual	5.068772e-11	0.536651	7
SORBI_3006G208800	YTH domain-containing family protein	CTL	individual	5.298874e-11	0.431847	7
SORBI_3006G209200		CTL	individual	5.298874e-11	0.777127	7
SORBI_3006G209300		CTL	individual	5.298874e-11	0.851161	7
