Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
CTL,species,PE(16:0/18:2),351,0,0,0,0,0.074,0.073,0
CTL,species,PE(16:0/18:3),351,0,0,0,0,0.033,0.033,0
CTL,species,PE(16:0/20:4),351,0,0,0,0,0.07,0.07,0
CTL,species,PE(16:0/20:5),351,0,0,0,0,0.027,0.026,0
CTL,species,PE(18:0/18:1),351,0.003,0.003,0,0,0.068,0.067,0
CTL,species,PE(18:0/18:2),351,0,0,0,0,0.139,0.138,0
CTL,species,PE(18:1/18:2),351,0.012,0.012,0,0,0.127,0.126,0
CTL,species,PE(18:2/18:2),351,0.012,0.011,0,0,0.111,0.11,-0.001
CTL,species,PE(18:2/18:3),351,0,0,0,0,0.027,0.026,0
CTL,species,PE(18:3/18:3),351,0,0,0,0,0.03,0.03,0
CTL,species,PG(16:0/16:0),351,0,0,0,0,0.054,0.054,0
CTL,species,PG(16:0/18:1),351,0,0,0,0,0.053,0.053,0
CTL,species,PG(18:0/16:0),351,0.003,0.003,0,0,0.108,0.107,0
CTL,species,PS(18:0/18:2),351,0,0,0,0,0.087,0.086,0
CTL,species,PS(18:0/20:4),351,0.012,0.012,0,0,0.097,0.096,0
CTL,species,SQDG(16:0/14:0),351,0,0,0,0,0.035,0.035,0
CTL,species,SQDG(16:0/16:0),351,0,0,0,0,0.032,0.032,0
CTL,species,SQDG(16:0/18:0),351,0,0,0,0,0.055,0.054,0
CTL,species,SQDG(16:0/18:1),351,0,0,0,0,0.091,0.09,0
CTL,species,SQDG(16:0/18:2),351,0.017,0.016,0,0,0.124,0.123,-0.001
CTL,species,SQDG(16:0/18:3),351,0,0,0,0,0.025,0.025,0
CTL,species,SQDG(16:1/18:3),351,0,0,0,0,0.035,0.034,0
CTL,species,SQDG(18:0/18:3),351,0,0,0,0,0.032,0.032,0
CTL,species,SQDG(18:1/18:3),351,0,0,0,0,0.05,0.05,0
CTL,species,SQDG(18:2/18:3),351,0,0,0,0,0.042,0.041,0
CTL,species,SQDG(18:3/18:3),351,0,0,0,0,0.026,0.026,0
CTL,species,TG(10:0/10:0/10:0),351,0.12,0.119,0.032,0.032,0.254,0.252,-0.000999999999999987
CTL,species,TG(10:0/12:0/14:0),351,0.04,0.04,0,0,0.132,0.131,0
CTL,species,TG(10:0/14:0/16:0),351,0.034,0.034,0,0,0.121,0.12,0
