Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
LIN,species,PC(18:2/20:4),357,0.051,0.051,0.003,0.003,0.149,0.148,0
LIN,species,PC(18:3/18:3),357,0.02,0.02,0,0,0.108,0.108,0
LIN,species,PE(12:0/12:0),357,0.03,0.029,0,0,0.125,0.123,-0.000999999999999997
LIN,species,PE(14:0/22:6),357,0,0,0,0,0.048,0.047,0
LIN,species,PE(16:0/18:0),357,0.018,0.018,0,0,0.103,0.102,0
LIN,species,PE(16:0/18:1),357,0.085,0.084,0.011,0.011,0.25,0.248,-0.001
LIN,species,PE(16:0/18:2),357,0.058,0.057,0,0,0.209,0.207,-0.001
LIN,species,PE(16:0/18:3),357,0.048,0.047,0,0,0.195,0.194,-0.001
LIN,species,PE(16:0/20:4),357,0,0,0,0,0.055,0.054,0
LIN,species,PE(16:0/20:5),357,0.031,0.031,0,0,0.146,0.145,0
LIN,species,PE(16:1/18:2),357,0.007,0.007,0,0,0.098,0.097,0
LIN,species,PE(18:0/18:2),357,0,0,0,0,0.061,0.06,0
LIN,species,PE(18:0/18:3),357,0.085,0.084,0.015,0.015,0.23,0.228,-0.001
LIN,species,PE(18:1/18:1),357,0.2,0.199,0.057,0.057,0.429,0.426,-0.001
LIN,species,PE(18:2/18:2),357,0.035,0.035,0,0,0.16,0.159,0
LIN,species,PE(18:2/18:3),357,0.114,0.113,0.02,0.02,0.302,0.3,-0.001
LIN,species,PE(18:3/18:3),357,0.006,0.006,0,0,0.097,0.096,0
LIN,species,PG(16:0/16:0),357,0.074,0.073,0.001,0.001,0.219,0.217,-0.001
LIN,species,PG(16:0/18:0),357,0.055,0.055,0,0,0.181,0.179,0
LIN,species,PG(16:0/18:1),357,0.028,0.028,0,0,0.144,0.143,0
LIN,species,PS(18:0/18:2),357,0.115,0.114,0.041,0.041,0.249,0.247,-0.001
LIN,species,SQDG(16:0/14:0),357,0.041,0.041,0,0,0.174,0.172,0
LIN,species,SQDG(16:0/16:0),357,0.195,0.193,0.087,0.087,0.349,0.347,-0.002
LIN,species,SQDG(16:0/18:1),357,0.166,0.165,0.065,0.065,0.306,0.304,-0.001
LIN,species,SQDG(16:0/18:2),357,0.296,0.294,0.063,0.062,0.594,0.591,-0.002
LIN,species,SQDG(16:0/18:3),357,0.158,0.157,0.017,0.017,0.427,0.425,-0.001
LIN,species,SQDG(16:1/18:3),357,0.035,0.035,0,0,0.163,0.162,0
LIN,species,SQDG(18:0/18:3),357,0.037,0.037,0,0,0.15,0.149,0
LIN,species,SQDG(18:1/18:3),357,0.057,0.056,0,0,0.181,0.18,-0.001
LIN,species,SQDG(18:2/18:3),357,0.221,0.22,0.044,0.044,0.489,0.486,-0.001
LIN,species,SQDG(18:3/18:3),357,0.38,0.379,0.106,0.105,0.71,0.708,-0.001
LIN,species,TG(10:0/10:0/10:0),357,0,0,0,0,0.059,0.058,0
LIN,species,TG(10:0/10:0/14:0),357,0,0,0,0,0.042,0.042,0
LIN,species,TG(10:0/12:0/14:0),357,0,0,0,0,0.052,0.052,0
