"Species","Normalized","Class","SuperClass","In_CTL","In_LIN","Status"
"PE(18:1/18:1)","PE(18:1/18:1)","PE","Glycerophospholipid",FALSE,TRUE,"LIN only"
"PE(18:1/18:2)","PE(18:1/18:2)","PE","Glycerophospholipid",TRUE,FALSE,"CTL only"
"PE(18:2/18:2)","PE(18:2/18:2)","PE","Glycerophospholipid",TRUE,TRUE,"Common"
"PE(18:2/18:3)","PE(18:2/18:3)","PE","Glycerophospholipid",TRUE,TRUE,"Common"
"PE(18:3/18:3)","PE(18:3/18:3)","PE","Glycerophospholipid",TRUE,TRUE,"Common"
"PG(16:0/16:0)","PG(16:0/16:0)","PG","Glycerophospholipid",TRUE,TRUE,"Common"
"PG(16:0/18:0)","PG(16:0/18:0)","PG","Glycerophospholipid",FALSE,TRUE,"LIN only"
"PG(16:0/18:1)","PG(16:0/18:1)","PG","Glycerophospholipid",TRUE,TRUE,"Common"
"PG(18:0/16:0)","PG(18:0/16:0)","PG","Glycerophospholipid",TRUE,FALSE,"CTL only"
"PS(18:0/18:2)","PS(18:0/18:2)","PS","Glycerophospholipid",TRUE,TRUE,"Common"
"PS(18:0/20:4)","PS(18:0/20:4)","PS","Glycerophospholipid",TRUE,FALSE,"CTL only"
"SQDG(16:0/14:0)","SQDG(16:0/14:0)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(16:0/16:0)","SQDG(16:0/16:0)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(16:0/18:0)","SQDG(16:0/18:0)","SQDG","Glycerolipid",TRUE,FALSE,"CTL only"
"SQDG(16:0/18:1)","SQDG(16:0/18:1)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(16:0/18:2)","SQDG(16:0/18:2)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(16:0/18:3)","SQDG(16:0/18:3)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(16:1/18:3)","SQDG(16:1/18:3)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(18:0/18:3)","SQDG(18:0/18:3)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(18:1/18:3)","SQDG(18:1/18:3)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(18:2/18:3)","SQDG(18:2/18:3)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"SQDG(18:3/18:3)","SQDG(18:3/18:3)","SQDG","Glycerolipid",TRUE,TRUE,"Common"
"TG(10:0/10:0/10:0)","TG(10:0/10:0/10:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(10:0/10:0/14:0)","TG(10:0/10:0/14:0)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(10:0/12:0/14:0)","TG(10:0/12:0/14:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(10:0/12:0/16:0)","TG(10:0/12:0/16:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(10:0/14:0/16:0)","TG(10:0/14:0/16:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(10:0/16:0/16:0)","TG(10:0/16:0/16:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(10:0/16:1/18:1)","TG(10:0/16:1/18:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(12:0/12:0/12:0)","TG(12:0/12:0/12:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/12:0/14:0)","TG(12:0/12:0/14:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/12:0/16:1)","TG(12:0/12:0/16:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(12:0/12:0/18:1)","TG(12:0/12:0/18:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/12:0/18:2)","TG(12:0/12:0/18:2)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(12:0/14:0/16:0)","TG(12:0/14:0/16:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/14:0/18:1)","TG(12:0/14:0/18:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/14:0/18:3)","TG(12:0/14:0/18:3)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(12:0/16:0/16:0)","TG(12:0/16:0/16:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/16:0/18:1)","TG(12:0/16:0/18:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/16:0/18:2)","TG(12:0/16:0/18:2)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(12:0/16:0/18:3)","TG(12:0/16:0/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/18:1/18:1)","TG(12:0/18:1/18:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(12:0/18:1/18:2)","TG(12:0/18:1/18:2)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(12:0/18:1/18:3)","TG(12:0/18:1/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(12:0/18:2/18:3)","TG(12:0/18:2/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(14:0/14:0/16:0)","TG(14:0/14:0/16:0)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(14:0/14:0/16:1)","TG(14:0/14:0/16:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(14:0/14:0/18:0)","TG(14:0/14:0/18:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(14:0/14:1/18:1)","TG(14:0/14:1/18:1)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(14:0/16:0/16:0)","TG(14:0/16:0/16:0)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(14:0/16:0/18:1)","TG(14:0/16:0/18:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(14:0/16:0/18:2)","TG(14:0/16:0/18:2)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(14:0/16:1/18:2)","TG(14:0/16:1/18:2)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(14:0/16:1/22:6)","TG(14:0/16:1/22:6)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(14:0/18:1/18:1)","TG(14:0/18:1/18:1)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(14:0/18:1/18:2)","TG(14:0/18:1/18:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(14:0/18:1/18:3)","TG(14:0/18:1/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(14:0/18:2/18:3)","TG(14:0/18:2/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(14:0/18:3/18:3)","TG(14:0/18:3/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/16:0/16:0)","TG(16:0/16:0/16:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/16:0/18:1)","TG(16:0/16:0/18:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/16:0/18:2)","TG(16:0/16:0/18:2)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(16:0/16:0/20:1)","TG(16:0/16:0/20:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/16:0/20:3)","TG(16:0/16:0/20:3)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(16:0/18:0/18:2)","TG(16:0/18:0/18:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/18:0/22:1)","TG(16:0/18:0/22:1)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(16:0/18:1/18:1)","TG(16:0/18:1/18:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(16:0/18:1/18:2)","TG(16:0/18:1/18:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/18:1/18:3)","TG(16:0/18:1/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/18:1/20:0)","TG(16:0/18:1/20:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/18:1/20:1)","TG(16:0/18:1/20:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(16:0/18:1/20:2)","TG(16:0/18:1/20:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/18:1/22:0)","TG(16:0/18:1/22:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/18:1/22:1)","TG(16:0/18:1/22:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(16:0/18:2/18:3)","TG(16:0/18:2/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:0/18:2/22:0)","TG(16:0/18:2/22:0)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(16:0/18:3/18:3)","TG(16:0/18:3/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:1/16:1/22:5)","TG(16:1/16:1/22:5)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:1/18:1/18:1)","TG(16:1/18:1/18:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(16:1/20:1/20:2)","TG(16:1/20:1/20:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(16:1/20:1/22:1)","TG(16:1/20:1/22:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(18:0/18:0/18:2)","TG(18:0/18:0/18:2)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:0/18:0/20:1)","TG(18:0/18:0/20:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(18:0/18:1/18:2)","TG(18:0/18:1/18:2)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:0/18:1/22:0)","TG(18:0/18:1/22:0)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:0/18:2/18:2)","TG(18:0/18:2/18:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:0/18:2/18:3)","TG(18:0/18:2/18:3)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:0/18:2/20:1)","TG(18:0/18:2/20:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:0/18:2/22:0)","TG(18:0/18:2/22:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:1/18:1/18:1)","TG(18:1/18:1/18:1)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:1/18:1/18:2)","TG(18:1/18:1/18:2)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:1/18:1/20:3)","TG(18:1/18:1/20:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
