Layer,Class,n_CTL,n_LIN,n_shared,CTL_only,LIN_only,expected_shared,fold_enrichment,jaccard,p_hypergeom,q_BH
individual,TG,866,890,37,829,853,22.650836100743525,1.6334937851934506,0.02152414194299011,0.0026835639197717804,0.009392473719201232
individual,Fatty acid,109,1897,7,102,1890,6.076733182472743,1.1519347303564778,0.003501750875437719,0.406340755195304,0.9481284287890427
individual,PC,58,1324,8,50,1316,2.2567960737061745,3.544848421710595,0.005822416302765648,0.0017506364751266523,0.009392473719201232
individual,Terpenoid,37,39,0,37,39,0.04240749992652893,0,0,1,1
individual,DG,13,28,0,13,28,0.010697387368854146,0,0,1,1
individual,SQDG,9,396,0,9,396,0.10474035324889058,0,0,1,1
individual,AEG,7,119,0,7,119,0.024480559555646986,0,0,1,1
sumratio,PA,81,55,0,81,55,0.13092544156111324,0,0,1,1
sumratio,PC,66,90,10,56,80,0.17456725541481766,57.28451178451178,0.0684931506849315,1.869490727416596e-15,2.243388872899915e-15
sumratio,AEG,65,82,10,55,72,0.1566403150439357,63.84052532833021,0.072992700729927,6.015007676955319e-16,9.022511515432977e-16
sumratio,PG,62,69,10,52,59,0.12572369001087372,79.53950444132772,0.08264462809917356,5.881082469579783e-17,1.323243555655451e-16
sumratio,PE,56,71,10,46,61,0.11684838510594528,85.58098591549296,0.08547008547008547,2.663353188314819e-17,9.588071477933349e-17
sumratio,Cer,52,82,10,42,72,0.12531225203514856,79.80065666041276,0.08064516129032258,5.45050127182059e-17,1.323243555655451e-16
sumratio,DGDG,50,88,10,40,78,0.1293090780850501,77.33409090909092,0.078125,7.448021040858852e-17,1.4896042081717705e-16
sumratio,GalCer,50,91,10,40,81,0.13371734211067682,74.78461538461538,0.07633587786259542,1.0571027894921283e-16,1.902785021085831e-16
sumratio,MG,50,98,10,40,88,0.1440032915038058,69.44285714285714,0.07246376811594203,2.2864490882616606e-16,3.741462144428172e-16
sumratio,DG,47,127,10,37,117,0.17541951979310547,57.00619869324845,0.06097560975609756,1.6840258173323547e-15,2.1651760508558846e-15
sumratio,MGDG,47,89,10,37,79,0.12293178946131014,81.34592397800621,0.07936507936507936,4.252008311798628e-17,1.2756024935395886e-16
sumratio,SQDG,47,196,10,37,186,0.2707261880271549,36.93768996960486,0.04291845493562232,1.3729424804595594e-13,1.5445602905170044e-13
sumratio,PS,42,54,10,32,44,0.06665295206747583,150.03086419753086,0.11627906976744186,5.921670004784471e-20,2.6647515021530116e-19
sumratio,SM,42,134,10,32,124,0.1653980662415141,60.460199004975124,0.060240963855421686,8.425203377853403e-16,1.1665666215489327e-15
sumratio,FA,37,733,10,27,723,0.7970435242601464,12.546366284429041,0.013157894736842105,4.170902032902986e-9,4.4162492113090434e-9
sumratio,LPE,35,47,10,25,37,0.04834396214770623,206.85106382978722,0.1388888888888889,1.6193801368194418e-21,1.3256197744538498e-20
sumratio,TG,30,57,10,20,47,0.05025420989214447,198.98830409356725,0.12987012987012986,2.2093662907564163e-21,1.3256197744538498e-20
sumratio,LPC,29,48,10,19,38,0.040908690157815855,244.44683908045974,0.14925373134328357,2.2439947498593557e-22,4.03919054974684e-21
