"window_kb","Layer","n_windows_genome","n_CTL","n_LIN","n_shared","expected_shared","fold_enrichment","jaccard","p_hypergeom"
100,"All layers",4844,549,1564,221,177.257638315442,1.24677278846915,0.116807610993658,1.81639594676604e-05
100,"Individual lipids",4844,521,1562,193,168.002064409579,1.14879540723665,0.102116402116402,0.00797212193076201
100,"Class sums / ratios",4844,50,247,7,2.54954582989265,2.74558704453441,0.0241379310344828,0.0125576496750426
250,"All layers",2279,396,971,186,168.721369021501,1.10240926255344,0.157493649449619,0.0306031488361614
250,"Individual lipids",2279,378,970,168,160.886353663888,1.04421534936999,0.142372881355932,0.225405848168091
250,"Class sums / ratios",2279,36,161,6,2.54322071083809,2.3592132505176,0.031413612565445,0.0374962309373309
500,"All layers",1239,308,656,173,163.073446327684,1.06087167405765,0.218710493046776,0.107138038397753
500,"Individual lipids",1239,297,656,162,157.249394673123,1.03021064301552,0.20480404551201,0.285632448556803
500,"Class sums / ratios",1239,28,121,5,2.73446327683616,1.82851239669421,0.0347222222222222,0.129740162491619
