"Layer","n_CTL","n_LIN","n_shared","CTL_only","LIN_only","expected_shared","fold_enrichment","jaccard","p_hypergeom"
"All layers",1165,4323,354,811,3969,148.008787139624,2.39174988756616,0.0689520841449162,4.71465978583126e-59
"Individual lipids",1100,4319,289,811,4030,139.621477062333,2.06988212759688,0.0563352826510721,3.62379371568146e-35
"Class sums / ratios",115,812,18,97,794,2.74429129808681,6.55907046476762,0.0198019801980198,2.85076774683097e-10
