"Lipids","CommonName","Class","Category_Code","SubClass","Sub_subclass"
"DG(18:2/18:3)","","Glycerolipids","GL","Diacylglycerol",""
"DG(18:3/18:3)","","Glycerolipids","GL","Diacylglycerol","DG"
"DG(8:0/8:0)","","Glycerolipids","GL","Diacylglycerol",""
"DGDG(16:0/18:1)","","Glycerolipids","GL","Digalactosyldiacylglycerol","Digalactosyldiacylglycerol"
"DGDG(16:0/18:2)","","Glycerolipids","GL","Digalactosyldiacylglycerol",""
"DGDG(16:0/18:3)","","Glycerolipids","GL","Digalactosyldiacylglycerol","Digalactosyldiacylglycerol"
"DGDG(18:0/18:2)","","Glycerolipids","GL","Digalactosyldiacylglycerol",""
"DGDG(18:0/18:3)","","Glycerolipids","GL","Digalactosyldiacylglycerol","Digalactosyldiacylglycerol"
"DGDG(18:2/18:3)","","Glycerolipids","GL","Digalactosyldiacylglycerol",""
"DGDG(18:2/18:4)","","Glycerolipids","GL","Digalactosyldiacylglycerol","Digalactosyldiacylglycerol"
"DGTS(34:5)","DGTS(34:5)","Glycerolipids","GL","NA","NA"
"FA(22:1)","FA(22:1)","Fatty Acyls","FA","Fatty acid","NA"
"Fucosterol","Fucosterol","Sterol Lipids","ST","Sterol","Oxysterol"
"GalCer(d18:2/18:1)","GalCer(d18:2/18:1)","Sphingolipids","SP","Sphingolipid","Glycosphingolipid"
"GalCer(d18:2/20:1)","GalCer(d18:2/20:1)","Sphingolipids","SP","Sphingolipid","Glycosphingolipid"
"GalCer(d18:2/22:1)","GalCer(d18:2/22:1)","Sphingolipids","SP","Sphingolipid","Glycosphingolipid"
"Ginsenoside F1","Ginsenoside F1","Prenol Lipids","PR","Triterpenoid","Triterpenoid saponin"
"Glycerol Tri-n-octanoate - 40.0 eV","Glycerol Tri-n-octanoate - 40.0 eV","Glycerolipids","GL","Triacylglycerol","NA"
"Hydroperoxy fatty acid (18:3)","Hydroperoxy fatty acid (18:3)","Fatty Acyls","FA","Fatty acid","NA"
"Iloprost","Iloprost","Prenol Lipids","PR","Diterpenoid","Prostanoid analog"
"LPC(16:0)","","Glycerophospholipids","GP","Lysophosphatidylcholine",""
"LPC(16:0/0:0)","","Glycerophospholipids","GP","Lysophosphatidylcholine","NA"
"LPC(18:2)","LPC(18:2)","Glycerophospholipids","GP","Lysophosphatidylcholine","NA"
"LPC(18:3)","LPC(18:3)","Glycerophospholipids","GP","Glycerophosphocholine","Lysophosphatidylcholine"
"LPC(22:0)","LPC(22:0)","Glycerophospholipids","GP","Lysophosphatidylcholine","NA"
"LPE(16:0)","","Glycerophospholipids","GP","Lysophosphatidylethanolamine",""
"Lanosterol","Lanosterol","Prenol Lipids","PR","Triterpenoid","Sterol precursor"
"Lupenone","Lupenone","Prenol Lipids","PR","Triterpenoid","Pentacyclic triterpenoid"
"Lupeol","Lupeol","Prenol Lipids","PR","Triterpenoid","Pentacyclic triterpenoid"
"Lutein","Lutein","Prenol Lipids","PR","Tetraterpenoid","Xanthophyll carotenoid"
"Luteolin 7-glucoside","Luteolin 7-glucoside","Polyketides","PK","NA","NA"
"Luteolin-4'-O-glucoside","Luteolin-4'-O-glucoside","Polyketides","PK","NA","NA"
"Lycopene","Lycopene","Prenol Lipids","PR","Tetraterpenoid","Acyclic carotenoid"
"MG(12:0)","MG(12:0)","Glycerolipids","GL","Monoacylglycerol","NA"
"MG(16:0)","","Glycerolipids","GL","Monoacylglycerol",""
"MG(16:1)","","Glycerolipids","GL","Monoacylglycerol","NA"
"MG(18:0)","","Glycerolipids","GL","Monoacylglycerol",""
"MG(18:1)","","Glycerolipids","GL","Monoacylglycerol","NA"
"MG(18:2)","","Glycerolipids","GL","Monoacylglycerol",""
"MG(18:3)","","Glycerolipids","GL","Monoacylglycerol","NA"
"MG(20:4)","","Glycerolipids","GL","Monoacylglycerol",""
"MGDG(16:0/18:1)","","Glycerolipids","GL","Monogalactosyldiacylglycerol","Monogalactosyldiacylglycerol"
"MGDG(16:0/18:3)","","Glycerolipids","GL","Monogalactosyldiacylglycerol",""
"MGDG(18:2/18:2)","","Glycerolipids","GL","Monogalactosyldiacylglycerol","Monogalactosyldiacylglycerol"
"MGDG(18:2/18:3)","","Glycerolipids","GL","Monogalactosyldiacylglycerol",""
