"Lipids","CommonName","Class","Category_Code","SubClass","Sub_subclass"
"PE(14:0/22:6)","","Glycerophospholipids","GP","Glycerophosphoethanolamine","Phosphatidylethanolamine"
"PE(16:0)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(16:0/18:0)","","Glycerophospholipids","GP","Glycerophosphoethanolamine","Phosphatidylethanolamine"
"PE(16:0/18:1)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(16:0/18:2)","","Glycerophospholipids","GP","Glycerophosphoethanolamine","Phosphatidylethanolamine"
"PE(16:0/18:3)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(16:0/20:4)","","Glycerophospholipids","GP","Glycerophosphoethanolamine","Phosphatidylethanolamine"
"PE(16:0/20:5)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(16:1/18:2)","","Glycerophospholipids","GP","Glycerophosphoethanolamine","Phosphatidylethanolamine"
"PE(18:0/18:1)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(18:0/18:2)","","Glycerophospholipids","GP","Glycerophosphoethanolamine","Phosphatidylethanolamine"
"PE(18:0/18:3)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(18:1/18:1)","","Glycerophospholipids","GP","Phosphatidylethanolamine","NA"
"PE(18:1/18:2)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(18:2/18:2)","","Glycerophospholipids","GP","Glycerophosphoethanolamine","Phosphatidylethanolamine"
"PE(18:2/18:3)","","Glycerophospholipids","GP","Phosphatidylethanolamine",""
"PE(18:3/18:3)","","Glycerophospholipids","GP","Phosphatidylethanolamine","NA"
"PG(16:0/16:0)","","Glycerophospholipids","GP","Phosphatidylglycerol",""
"PG(16:0/18:0)","","Glycerophospholipids","GP","Phosphatidylglycerol","NA"
"PG(16:0/18:1)","","Glycerophospholipids","GP","Phosphatidylglycerol",""
"PG(18:0/16:0)","","Glycerophospholipids","GP","Phosphatidylglycerol",""
"PS(18:0/18:2)","","Glycerophospholipids","GP","Phosphatidylserine",""
"PS(18:0/20:4)","","Glycerophospholipids","GP","Phosphatidylserine",""
"Panaxcerol B","","Glycerolipids","GL","Monoacylglycerol","NA"
"Phytosphingosine","Phytosphingosine","Sphingolipids","SP","Sphingolipid","NA"
"Protopanaxadiol","Protopanaxadiol","Prenol Lipids","PR","Triterpenoid","NA"
"SM(d18:1/17:0)","SM(d18:1/17:0)","Sphingolipids","SP","Sphingolipid","Sphingomyelin"
"SPB 18:0;2OH","SPB 18:0;2OH","Sphingolipids","SP","Sphingolipid","NA"
"SPHINGANINE","SPHINGANINE","Sphingolipids","SP","Sphingolipid","NA"
"SQDG(16:0/14:0)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol","SQDG"
"SQDG(16:0/16:0)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol",""
"SQDG(16:0/18:0)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol","SQDG"
"SQDG(16:0/18:1)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol",""
"SQDG(16:0/18:2)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol","SQDG"
"SQDG(16:0/18:3)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol",""
"SQDG(16:1/18:3)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol","SQDG"
"SQDG(18:0/18:3)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol",""
"SQDG(18:1/18:3)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol","SQDG"
"SQDG(18:2/18:3)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol",""
"SQDG(18:3/18:3)","","Glycerolipids","GL","Sulfoquinovosyldiacylglycerol","SQDG"
"Schaftoside","Schaftoside","Polyketides","PK","NA","Phosphatidylserine"
"Scutellarein tetramethyl ether","Scutellarein tetramethyl ether","Polyketides","PK","Flavonoid derivative","NA"
"Sumaresinolic acid","Sumaresinolic acid","Prenol Lipids","PR","Triterpenoid","NA"
"TG(10:0/10:0/10:0)","","Glycerolipids","GL","Triacylglycerol","NA"
"TG(10:0/10:0/14:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(10:0/12:0/14:0)","","Glycerolipids","GL","Triacylglycerol","NA"
"TG(10:0/12:0/16:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(10:0/14:0/16:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(10:0/16:0/16:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(10:0/16:1/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(12:0/12:0/12:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/12:0/14:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(12:0/12:0/16:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/12:0/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(12:0/12:0/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/14:0/16:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(12:0/14:0/18:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/14:0/18:3)","","Glycerolipids","GL","Triacylglycerol","NA"
"TG(12:0/16:0/16:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/16:0/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(12:0/16:0/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/16:0/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(12:0/18:1/18:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/18:1/18:2)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(12:0/18:1/18:3)","","Glycerolipids","GL","Triacylglycerol",""
"TG(12:0/18:2/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(14:0/14:0/16:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(14:0/14:0/16:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(14:0/14:0/18:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(14:0/14:1/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(14:0/16:0/16:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(14:0/16:0/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(14:0/16:0/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(14:0/16:1/18:2)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(14:0/16:1/22:6)","","Glycerolipids","GL","Triacylglycerol",""
"TG(14:0/18:1/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(14:0/18:1/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(14:0/18:1/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(14:0/18:2/18:3)","","Glycerolipids","GL","Triacylglycerol",""
"TG(14:0/18:3/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/16:0/16:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/16:0/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/16:0/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/16:0/20:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/16:0/20:3)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/18:0/18:2)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/18:0/22:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/18:1/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/18:1/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/18:1/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/18:1/20:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/18:1/20:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/18:1/20:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/18:1/22:0)","","Glycerolipids","GL","Triacylglycerol","TG"
