pathway_id	pathway_name	pathway_bg_count	pathway_test_count	expected	fold_enrichment	p_value	overlap_genes	p_adj_bh
path:sbi01100	Metabolic pathways - Sorghum bicolor (sorghum)	255	5	5.02710694923608	0.994607843137255	0.578050704210799	SORBI_3002G221900;SORBI_3005G011300;SORBI_3005G011500;SORBI_3005G110541;SORBI_3009G152800	0.635888699046393
path:sbi01110	Biosynthesis of secondary metabolites - Sorghum bicolor (sorghum)	163	3	3.2134056185313	0.933588957055215	0.635888699046393	SORBI_3002G221900;SORBI_3005G011300;SORBI_3005G011500	0.635888699046393
